	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LAPTM4A	3.42471650908864e-13	0.522902944639572	0.808	0.379	6.0579810329269e-09
PTN	6.38736712905617e-10	0.522354857368445	0.477	0.144	1.12986137145875e-05
SERPINE2	8.89201697701752e-15	0.518769518689428	0.55	0.121	1.57290888306463e-10
PDLIM3	3.59657317843317e-11	0.508107623563013	0.596	0.205	6.36197829533043e-07
ACTA2	7.86692504715827e-08	0.507200997937825	0.675	0.318	0.00139158037159183
CALD1	2.09756025529882e-09	0.504264551648401	0.934	0.508	3.71037433559808e-05
MARCKSL1	4.45905781813979e-10	0.500062675818343	0.609	0.28	7.88762737450747e-06
TPM1	2.22524076602216e-08	0.490754312829868	0.781	0.432	0.00039362283910166
CLEC11A	1.82292547284981e-13	0.48872166037376	0.675	0.242	3.22457286892402e-09
KDELR1	1.18251638145724e-14	0.48719443652328	0.762	0.318	2.09175322715971e-10
NME4	2.91211334628385e-14	0.484334546821548	0.642	0.197	5.15123729824151e-10
AEBP1	2.13916118770198e-09	0.484013595137052	0.748	0.371	3.78396222492603e-05
NBPF26	9.51011104522348e-12	0.482540500075759	0.51	0.144	1.68224354278958e-07
C7	2.00851354147644e-11	0.481205292504746	0.291	0	3.55285960351767e-07
OGN	7.06441573756928e-14	0.479612497454898	0.351	0	1.24962449981863e-09
MAGED2	6.71186869286399e-13	0.476094470541179	0.675	0.258	1.18726245308071e-08
SBSPON	9.72271433540114e-15	0.472063480532122	0.371	0	1.71985093878911e-10
UACA	5.63068826854551e-12	0.472062990174603	0.722	0.25	9.96012447823015e-08
APOD	0.00599031819709054	0.471699502985246	0.298	0.167	1
TIMP2	2.17147609159599e-12	0.469132904519908	0.788	0.364	3.84112405842415e-08
ID1	1.3302274520032e-10	0.466279421387585	0.477	0.114	2.35303933984846e-06
IGFBP4	1.06609880046019e-09	0.465220589619449	0.868	0.356	1.88582216813403e-05
MARCKS	3.7540936660336e-13	0.465159693640782	0.715	0.25	6.64061628584683e-09
EIF3E	4.25016783594328e-12	0.463853752358363	0.709	0.318	7.51812188500007e-08
CST3	2.05350895315102e-08	0.461297610961913	0.887	0.447	0.000363245198722883
PI16	1.82638370950793e-06	0.460675123435978	0.159	0	0.0323069014374858
PTMS	1.80378719199274e-10	0.45713764049155	0.854	0.439	3.19071916391595e-06
CD55	2.61328119852161e-12	0.455032867266517	0.457	0.083	4.62263311206487e-08
LRP1	9.19791492633177e-12	0.454536954593818	0.728	0.258	1.62701917131883e-07
THY1	2.68434395815431e-07	0.452324502417748	0.715	0.364	0.00474833602757917
COL6A3	2.76729801064646e-09	0.452020597928827	0.755	0.318	4.89507345103252e-05
ID4	1.0655629893206e-11	0.450440038910968	0.55	0.144	1.88487437180922e-07
HHIP	5.26601039315442e-11	0.447811464567941	0.338	0.03	9.31504578445086e-07
RPL36A	1.83793846837755e-16	0.446444666994741	0.96	0.848	3.25112935671304e-12
SELENOW	1.86861142358758e-11	0.446362908805518	0.881	0.561	3.30538674718408e-07
ABCA8	4.96520476987436e-13	0.446112286463504	0.47	0.068	8.78295071743076e-09
LAPTM4B	2.5661482741791e-13	0.445956302732185	0.497	0.106	4.53925968219541e-09
CCDC85B	3.08200021701806e-10	0.444093166677547	0.636	0.303	5.45175018388325e-06
SLC29A1	5.48107469324019e-15	0.44221790790424	0.404	0.015	9.69547302487257e-11
PLAC9	1.02293935493846e-08	0.439976943764161	0.649	0.28	0.000180947742495064
COL16A1	1.36503903541385e-12	0.438919536816966	0.45	0.076	2.41461754974356e-08
SPARCL1	1.2618728172426e-08	0.438777391598407	0.709	0.295	0.000223212682642043
ZFAS1	2.71535527944924e-12	0.43732137354641	0.742	0.311	4.80319195381777e-08
NUCKS1	8.38370673292581e-12	0.435836529528069	0.808	0.424	1.48299388398725e-07
COL18A1	5.39278993094477e-07	0.435297530258455	0.689	0.364	0.00953930610884821
PPIC	2.71811658669261e-11	0.435270612493979	0.636	0.242	4.80807643020056e-07
EIF3L	2.40836828222178e-12	0.434832793661256	0.808	0.424	4.2601626544221e-08
SELENOP	1.57309436926549e-08	0.433212475084567	0.596	0.258	0.000278264662979372
ENC1	2.96261604250015e-08	0.430202193570849	0.497	0.212	0.000524057151757851
OSTC	1.25815248044256e-11	0.429971109803294	0.728	0.333	2.22554592265484e-07
RAB34	7.85569637113852e-12	0.428269739090653	0.629	0.25	1.38959413109069e-07
MYH10	4.25587903165125e-13	0.427413820595255	0.437	0.061	7.5282244190879e-09
ST3GAL4	1.09820925646041e-12	0.42620761129024	0.49	0.106	1.94262235375281e-08
NUPR1	3.18031128773404e-11	0.425706398127715	0.695	0.295	5.62565263687274e-07
MYL9	1.63557084356761e-06	0.425597038742126	0.808	0.477	0.0289316126518674
DCN	3.85784436828185e-06	0.424442491932414	0.702	0.371	0.0682414090305376
CFD	0.0355660430871481	0.424134957071059	0.159	0.083	1
CCDC80	2.68265879780963e-07	0.423298336562572	0.444	0.159	0.00474535514744545
PALLD	1.38423121695775e-09	0.423050158898871	0.656	0.288	2.44856659967657e-05
ISYNA1	4.08700248850177e-10	0.420806948488817	0.536	0.182	7.22949870191078e-06
FKBP10	8.01778509411687e-11	0.42069525321626	0.623	0.22	1.41826600529833e-06
KCTD12	7.93980758208586e-13	0.420056553922596	0.424	0.053	1.40447256319517e-08
PKDCC	7.41980775333568e-15	0.420034794083046	0.437	0.03	1.31248979348755e-10
TCEAL3	8.91268057761077e-13	0.419513057204402	0.517	0.121	1.57656406737357e-08
ITGA11	2.36630922267531e-10	0.417499240064266	0.464	0.129	4.18576438399035e-06
PLOD1	1.36740152787406e-11	0.416001047205139	0.589	0.197	2.41879656265643e-07
FXYD6	9.11312714480754e-11	0.415558926525371	0.609	0.235	1.61202106064501e-06
SSR2	5.09023411253369e-13	0.414179820340793	0.861	0.492	9.00411512166085e-09
ENAH	8.23043644708031e-11	0.414150901855234	0.556	0.182	1.45588190312404e-06
ITM2B	3.68624171788924e-13	0.413983176690978	0.947	0.811	6.52059297477428e-09
CD63	3.43872113288711e-08	0.410031535665378	0.861	0.508	0.000608275381196402
EVA1B	1.15263488952855e-13	0.408620527221205	0.47	0.076	2.03889585608705e-09
SLC40A1	1.47971161575316e-11	0.404596008724299	0.517	0.136	2.61746187710577e-07
CNN3	2.75399297411636e-10	0.403267018091682	0.848	0.424	4.87153817191442e-06
FHL2	8.16284218325862e-08	0.402807499514114	0.576	0.288	0.00144392515379662
EGR1	8.01145255890971e-07	0.401585055287802	0.497	0.22	0.0141714584314554
HMGN1	1.826989604698e-10	0.401518464704741	0.748	0.303	3.23176191175029e-06
FBN1	1.38659541292126e-10	0.40095587804702	0.589	0.197	2.45274862591641e-06
EIF4A2	2.43786558860468e-10	0.399319124305316	0.735	0.326	4.31234043968282e-06
PDLIM2	1.24475577541349e-11	0.397774048576962	0.603	0.205	2.20184849112893e-07
DDAH2	2.33572825247572e-10	0.397055565715601	0.616	0.258	4.1316697058043e-06
CRTAP	1.39681147747902e-09	0.394689043540453	0.742	0.356	2.47081982251264e-05
FOXS1	3.84206476196543e-10	0.392164884791689	0.444	0.098	6.79622835744065e-06
FNDC1	8.39209493049245e-10	0.389742834024595	0.325	0.038	1.48447767225481e-05
LTBP4	7.11494667291304e-09	0.387873806634024	0.748	0.364	0.000125856291697159
SH3BGRL	3.56723179140376e-10	0.387399983107783	0.762	0.386	6.31007631581411e-06
IMPDH2	4.08639585254922e-10	0.386832968580046	0.656	0.295	7.22842562357432e-06
VCAN	3.60032191503386e-06	0.385080883706883	0.49	0.22	0.0636860943550339
EFEMP2	2.22877800297646e-09	0.385046312556286	0.742	0.333	3.94248540946506e-05
UBE2E2	2.19316057718732e-11	0.38443611562891	0.53	0.144	3.87948174498664e-07
GSTM1	1.0731331759171e-13	0.383718240188475	0.424	0.038	1.89826527487975e-09
SSPN	4.07691086605689e-11	0.379526891199358	0.503	0.129	7.21164763096803e-07
HMGN3	2.30940189753297e-10	0.379375363882762	0.709	0.318	4.08510101654607e-06
KLHDC8A	8.40068579344742e-15	0.378921662561627	0.371	0	1.48599731000291e-10
IFITM3	0.000565844595372003	0.377698440755403	0.934	0.538	1
SYNPO	6.21983092787856e-11	0.377431244840551	0.384	0.053	1.10022589283244e-06
MGST3	9.16464163291635e-10	0.375777495691237	0.795	0.379	1.62113345844657e-05
SOX4	1.89139990584296e-07	0.375352294033125	0.669	0.333	0.00334569729344561
NENF	5.44593945695324e-10	0.374876579561805	0.728	0.318	9.63332230540459e-06
LY6E	7.24485470495868e-09	0.374322005092135	0.788	0.462	0.000128154234876014
ST13	1.47019108785931e-09	0.37290290666429	0.768	0.439	2.60062101531434e-05
HSPG2	2.7293505976123e-09	0.371925376987758	0.51	0.167	4.8279482721164e-05
TXNIP	9.88905025553698e-07	0.371674241016188	0.576	0.265	0.0174927409970194
HSPB6	3.56893101605966e-10	0.369504202026645	0.377	0.068	6.31308207430794e-06
ITGB1	1.10002756271203e-06	0.368362181271321	0.821	0.47	0.0194583875568131
DPYSL3	2.35761027294729e-10	0.367367376505439	0.404	0.076	4.17037681181647e-06
NPDC1	3.18108125643496e-11	0.366851480089419	0.444	0.091	5.6270146345078e-07
PRDX4	9.26589364195962e-10	0.366693373749306	0.589	0.227	1.63904392632624e-05
PDGFRB	9.51159089204122e-08	0.366540581879472	0.755	0.356	0.00168250531289317
SNX3	2.0781819465138e-09	0.364267019818479	0.801	0.409	3.67609604518826e-05
SNHG7	2.73119498282151e-09	0.364250067022056	0.556	0.22	4.83121080511296e-05
FSTL1	8.97157118901002e-08	0.362824729419432	0.742	0.333	0.00158698122762398
NRP1	9.49097933839974e-11	0.362349321074582	0.477	0.121	1.67885933516953e-06
RAC1	2.39567661755172e-08	0.361295102388238	0.868	0.508	0.000423771236878724
TUBB	4.65639958799876e-08	0.360036154022191	0.868	0.591	0.0008236705231211
RPL23	3.67236086229100e-09	0.358250686927219	0.788	0.53	6.49603912930654e-05
ARF4	3.48795887589902e-08	0.357858429618731	0.742	0.386	0.000616985045557777
LAMC3	5.73512370161575e-10	0.357370864501761	0.311	0.03	1.01448603157881e-05
MRFAP1	4.38500870122557e-10	0.357285048593421	0.656	0.258	7.75664189159791e-06
ABLIM1	1.8237995543248e-08	0.356419052457198	0.43	0.129	0.000322611903164513
FBLN2	4.39868577302739e-10	0.354252970033296	0.305	0.023	7.78083526390815e-06
SFRP2	0.000123261025801615	0.352608959304311	0.106	0	1
CDC42EP1	1.84190189065171e-09	0.349905690915656	0.556	0.197	3.25814025437382e-05
HDLBP	2.17607471041528e-07	0.349257982292727	0.636	0.348	0.00384925855525359
SPON2	1.27764834301471e-06	0.348983691640257	0.689	0.341	0.0226003215395872
ALDH1A1	2.33475081287799e-09	0.348807031205135	0.272	0.015	4.12994071289988e-05
MYL6B	4.96871797668759e-10	0.34793024286289	0.517	0.167	8.78916522896268e-06
CYP1B1	5.09610325510767e-08	0.34750062202507	0.219	0.008	0.000901449704795997
RTL8C	2.57706705059415e-08	0.346856760582567	0.682	0.303	0.000455857390579598
C1orf122	5.55786411012835e-08	0.345914247958964	0.464	0.174	0.000983130582440604
MAGED1	1.23469539500359e-09	0.344422940088459	0.523	0.174	2.18405268422185e-05
DBN1	2.78139032017743e-10	0.344077049517939	0.464	0.129	4.92000133736186e-06
FBLN5	4.07839386128438e-07	0.343635097617281	0.49	0.197	0.00721427090122593
NDUFA13	3.90479943968077e-09	0.3432602803195	0.762	0.394	6.90719972885131e-05
MORF4L2	1.26717711315009e-07	0.341663458240985	0.556	0.273	0.00224150959545119
IL6ST	2.08291876077069e-08	0.339421453327467	0.642	0.303	0.000368447499592727
TMEM14C	9.18934065815192e-09	0.339289767916839	0.715	0.364	0.000162550246902049
OLFML2B	3.6528319952105e-08	0.339099095243091	0.457	0.136	0.000646149451632786
TMEM141	2.53152683369564e-08	0.338660917265425	0.45	0.152	0.000447801781612421
SPTBN1	3.8467705833853e-07	0.337238969254036	0.762	0.424	0.00680455248495026
UNC5B	1.43377998279285e-10	0.337015609736138	0.397	0.068	2.53621341156227e-06
DSTN	2.06288397984786e-06	0.335385740652452	0.808	0.47	0.0364903547195287
FOS	0.000418189213541619	0.334884671997261	0.689	0.629	1
PPFIBP1	2.1847519726028e-08	0.333874911073829	0.576	0.25	0.00038646077643371
CDH11	1.23403103407985e-07	0.333449627523532	0.642	0.303	0.00218287749618384
NFIA	1.72982369259017e-10	0.331219056135809	0.51	0.136	3.05988512982275e-06
NBPF14	1.41930570255721e-08	0.330826085389325	0.404	0.114	0.000251060985725345
PEG3	1.2939778261136e-11	0.330439521189138	0.311	0.008	2.28891737661235e-07
C11orf96	3.87483882742147e-06	0.330256134156196	0.57	0.273	0.0685420240182583
CFH	5.4072403876568e-06	0.326858325511454	0.576	0.303	0.095648675217261
PPDPF	6.50685412600316e-13	0.326352605605759	0.947	0.871	1.1509974263487e-08
RNF24	4.35213485757218e-08	0.326016760251594	0.51	0.189	0.000769849134955943
BRI3	5.94718907750787e-09	0.325718821722294	0.523	0.174	0.000105199827592037
DAD1	1.03728404017977e-07	0.325613693572664	0.768	0.424	0.00183485173867399
ERGIC3	5.00211607063478e-08	0.323742324985562	0.623	0.303	0.000884824311734586
RPL31	1.5066007743507e-12	0.323073078573137	0.954	0.871	2.66502610974895e-08
CAVIN1	5.59388314665122e-07	0.32255889160327	0.755	0.379	0.00989501989811134
EPHX1	2.23961689182994e-06	0.321561899837415	0.536	0.258	0.0396165831995797
TCF4	1.59019150201743e-06	0.32079836418994	0.695	0.379	0.0281288974791864
TSPAN5	3.64586177134745e-08	0.320748200948022	0.364	0.091	0.000644916488733651
MAP1LC3A	2.21047186758356e-08	0.320362739165715	0.609	0.242	0.000391010368656855
F2R	3.10649290689578e-05	0.320215689433831	0.55	0.303	0.549507530300794
MZT2B	2.58038300017319e-07	0.320090593732061	0.715	0.386	0.00456443948900636
RWDD1	1.27923620101719e-08	0.319917147818028	0.662	0.311	0.00022628409159793
C12orf57	4.18508839874136e-08	0.319912640465878	0.901	0.659	0.000740300286853359
TCAF1	1.59497599253376e-09	0.319315609235116	0.411	0.098	2.82135303319297e-05
EIF3F	9.23666935599686e-08	0.318451553241512	0.801	0.523	0.00163387444238229
TCEAL9	3.06577886837161e-08	0.31839011410291	0.603	0.258	0.000542305624026254
NOTCH2	2.1959571038694e-09	0.318307423684472	0.424	0.106	3.88442852103459e-05
NPC2	8.1348207120432e-07	0.318281789071115	0.669	0.341	0.0143896843575332
CSRP1	4.66487936842886e-06	0.317891291435175	0.702	0.402	0.0825170511481381
PEBP1	7.48513478291909e-08	0.317311674621592	0.834	0.515	0.00132404549175056
BNIP3L	4.12909956372193e-08	0.316375005937026	0.576	0.242	0.000730396421826772
GRINA	1.79416492760896e-08	0.316085294368234	0.576	0.242	0.000317369834044749
DYNLT3	1.05418863107041e-05	0.314615757640752	0.503	0.258	0.186475426950045
ITM2C	8.09226563585462e-07	0.314348642343885	0.576	0.295	0.0143144086832632
CCDC3	2.17111020684782e-06	0.313948576510301	0.47	0.182	0.038404768448931
PTCH2	2.41834727851062e-11	0.313327673055628	0.305	0.008	4.27781450095743e-07
GPC3	1.76363358654456e-07	0.313253950589046	0.205	0.008	0.00311969145123867
BEX4	1.19253516076507e-10	0.313185414106673	0.391	0.061	2.10947544587733e-06
RPL7	1.29918871911592e-11	0.312550125365742	0.934	0.871	2.29813492524415e-07
CDH2	9.97557351803178e-12	0.312455806977232	0.298	0	1.76457919960464e-07
TSPAN3	9.20019571649027e-08	0.31225850094341	0.596	0.265	0.00162742262028996
CPXM1	2.66660989890352e-09	0.312248031280678	0.377	0.076	4.71696625017044e-05
HEYL	2.12701467261531e-07	0.311752631531374	0.411	0.121	0.00376247625438923
CREB3L1	2.11588630877134e-08	0.310695840824916	0.358	0.076	0.000374279129158562
FBLN1	0.135734931759633	0.30914903054037	0.245	0.197	1
PSAP	6.1713097688869e-07	0.308327540154634	0.788	0.462	0.010916429850184
PFN2	3.14903533113324e-09	0.307406173499377	0.497	0.159	5.57032859724159e-05
KDELR2	1.75515694842472e-06	0.306331397678662	0.636	0.341	0.031046971260685
ERH	9.18754707071543e-08	0.306186489019112	0.715	0.364	0.00162518520133885
GYPC	9.8368206956892e-07	0.305537334104208	0.642	0.326	0.0174003521286046
C1QTNF4	1.407064347213e-12	0.305292750665674	0.318	0	2.48895612378508e-08
C8orf59	2.15999623187079e-07	0.305187436276202	0.709	0.379	0.00382081733455625
HEBP1	4.7901401163596e-08	0.304033349506889	0.517	0.197	0.000847327885182849
MZT2A	1.15664129826456e-07	0.303542229111069	0.556	0.242	0.00204598279250018
RAB13	3.6281295739599e-07	0.303078238855621	0.649	0.311	0.00641779840337766
RHOC	4.89111243574692e-06	0.30267957150141	0.768	0.462	0.0865188878759273
FAM162A	1.57605627632102e-07	0.302322414960599	0.49	0.197	0.00278788594718425
SLIT2	3.39416716117981e-11	0.30206673928089	0.285	0	6.00394229141097e-07
TCF25	6.60355407853867e-08	0.300249936839717	0.55	0.22	0.0011681026809527
APEX1	1.00102077505262e-07	0.300185969732803	0.556	0.242	0.00177070564899057
PRNP	1.09874031219946e-06	0.299424279261905	0.411	0.159	0.0194356173824962
SMS	5.7549866084772e-08	0.299167268049838	0.483	0.174	0.00101799958117353
PARVA	3.39356325929416e-08	0.299138176258871	0.55	0.227	0.000600287404936544
RPS2	4.63597435039172e-12	0.297204806008462	0.98	0.962	8.20057502840791e-08
NBPF1	2.97336628678957e-09	0.296991589480729	0.371	0.076	5.25958762470207e-05
DSE	6.72205147707108e-09	0.29627180560113	0.43	0.114	0.00011890636857791
RPL9	1.31783906422233e-13	0.296264793384272	0.993	0.947	2.33112552070287e-09
NME2	5.29084338575872e-08	0.295062464878533	0.921	0.773	0.00093589728650686
CLDN1	3.91274773661719e-08	0.294789288030942	0.205	0	0.000692125947130215
CRYAB	3.19519962170997e-06	0.29380411159184	0.404	0.159	0.0565198861084277
PNISR	1.10740037673398e-07	0.292949747799309	0.53	0.205	0.00195888052640474
ANXA5	0.000226816571793021	0.292271103733481	0.821	0.553	1
PRELP	4.75620175920671e-08	0.291775125428115	0.252	0.023	0.000841324529186075
RCN1	8.61414440841876e-07	0.291473241443252	0.609	0.303	0.0152375600440519
LGALS1	0.000174988288737724	0.291209510683951	0.954	0.788	1
IFNGR2	6.43880690006325e-08	0.290627490237922	0.53	0.197	0.00113896055255219
CTSF	5.50347419358657e-08	0.290249537797679	0.43	0.144	0.000973509550103529
NPM1	4.74839319138869e-10	0.290198960353764	0.96	0.894	8.39943271624745e-06
GEM	0.000224056006252082	0.290045654186556	0.404	0.212	1
IL33	4.29689807693942e-09	0.288569069348294	0.252	0.008	7.60078300829813e-05
APP	6.78933090575884e-06	0.288155254272635	0.735	0.386	0.120096474391968
PXDN	3.12757942038619e-06	0.287567238892906	0.603	0.295	0.0553237523672114
EFEMP1	3.47699795750587e-05	0.287510911633082	0.344	0.136	0.615046168703213
CMTM6	2.83196578505379e-08	0.286907928068735	0.437	0.136	0.000500946427718165
ERGIC1	2.66181709138597e-09	0.286783092818302	0.377	0.076	4.70848825295264e-05
TGFB1I1	3.28839869285656e-06	0.285248735345028	0.636	0.311	0.0581684844779397
SRP9	2.25176564422507e-06	0.284345765524552	0.722	0.394	0.0398314824806972
KRTCAP2	1.84867421485172e-06	0.282599758083033	0.775	0.455	0.032701198186512
SEC11A	1.33378727738036e-06	0.281736859828353	0.669	0.379	0.0235933631495812
RBMS3	6.04736542288589e-07	0.281569281966767	0.397	0.136	0.0106971846965429
SNHG18	1.90011652285646e-07	0.281460853173631	0.477	0.182	0.0033611161172808
ATP5F1C	1.35445327131353e-06	0.281309325091525	0.642	0.326	0.0239589239162651
ADD3	7.51450214111578e-07	0.281197393364939	0.444	0.174	0.0132924028374197
NRP2	2.60588416153136e-07	0.280892419065349	0.331	0.083	0.00460954849333282
CD59	2.01140259220449e-05	0.279716222355463	0.715	0.402	0.355797004535052
GSTM5	2.48421077032147e-07	0.278903917370863	0.258	0.038	0.00439432043162165
CD81	1.16755535827402e-06	0.278347411029587	0.669	0.326	0.0206528867325091
ATP5ME	4.23190948115212e-07	0.278081950506107	0.848	0.621	0.00748582468120998
ARF5	2.09959477525637e-06	0.278068041812713	0.695	0.409	0.0371397319795099
MT-ATP8	6.17653550927497e-10	0.276928304686519	0.98	0.985	1.09256736623565e-05
VGLL4	3.57402359346209e-07	0.275729666475272	0.523	0.22	0.00632209033447509
FLRT2	7.77257376723633e-09	0.275552605659025	0.272	0.023	0.000137489057368643
ALKBH7	5.44310609284478e-07	0.275388502494929	0.55	0.242	0.00962831036763313
HES4	1.61042280317182e-05	0.275033429534736	0.477	0.212	0.284867689653064
ZNF428	2.6363582951228e-06	0.274283621698063	0.649	0.348	0.0466345418824272
EIF4A1	1.06845514677438e-05	0.273530684357234	0.51	0.273	0.188999030912919
LINC02256	5.93475705322413e-08	0.273206408149685	0.351	0.083	0.00104979917514482
PARK7	8.037112705622e-06	0.272990246136522	0.808	0.508	0.142168486649748
RPS10	4.23248452072609e-06	0.272113614293822	0.748	0.402	0.0748684186871239
KTN1	4.02387415809672e-06	0.272113428218396	0.682	0.364	0.0711783099825728
RACK1	3.96090310276753e-14	0.271501870755629	1	0.992	7.00644149848548e-10
MT-ND4	8.36339211235685e-09	0.270939162594922	0.98	0.962	0.00014794004307548
NSA2	4.67105934814705e-06	0.270911717227987	0.589	0.311	0.0826263688093732
ATP5MD	1.06130985538939e-05	0.270275133899111	0.788	0.515	0.18773510031983
RABAC1	1.08984376650549e-05	0.269006238349411	0.781	0.439	0.192782463857155
RAB7B	8.62106364054724e-08	0.268826884844618	0.285	0.045	0.0015249799473764
MXRA7	3.15680609161383e-07	0.267987158356073	0.411	0.136	0.00558407429545571
VAT1	1.12633860828786e-06	0.267585876942967	0.47	0.189	0.0199238036420039
MPZL1	2.10088915107707e-08	0.267348333640875	0.377	0.091	0.000371626281934022
NID2	3.27178558287274e-06	0.266810005474185	0.411	0.152	0.0578746151754359
TUSC3	8.2317097482457e-07	0.266641760239258	0.477	0.189	0.0145610713736718
PHB2	5.18203084943146e-06	0.266580517246831	0.629	0.341	0.0916649436955931
CPE	2.82937803396919e-06	0.266177331299786	0.404	0.136	0.0500488680428811
PGLS	1.00096238054153e-05	0.266106050354478	0.563	0.28	0.177060235493991
IP6K2	4.36794094107948e-08	0.265616559635429	0.391	0.106	0.000772645073067549
LDHB	1.28838663155863e-05	0.265481232964828	0.788	0.477	0.227902711256407
EIF3M	2.26655275002268e-06	0.264943210953708	0.503	0.227	0.0400930515951512
BTF3	2.77242566547701e-11	0.264425354135864	0.967	0.924	4.90414375966228e-07
SEZ6L2	1.1748361469621e-09	0.264098606494682	0.278	0.015	2.07816766036126e-05
RPL41	3.57314856582952e-16	0.263981355706103	1	0.992	6.32054249809584e-12
GNAS	1.12151318685602e-05	0.26391295280411	0.695	0.394	0.198384467622961
LINC01116	5.10470917125802e-10	0.26387203656625	0.272	0.008	9.02972005303831e-06
ZFYVE21	5.40034816764599e-08	0.26380519304293	0.417	0.121	0.0009552675873749
MRC2	2.54287678503639e-07	0.26340806156366	0.477	0.167	0.00449809474505087
NEDD8	2.24956464251864e-06	0.262414065871294	0.775	0.439	0.0397925489615122
NOP53	7.36566099812257e-06	0.262343822995401	0.728	0.432	0.13029117739579
RPS4X	1.58715243542215e-15	0.261730402301011	1	1	2.80751394301824e-11
GNG12	3.97605975067309e-07	0.261326488056396	0.444	0.159	0.00703325209296563
NORAD	1.89719108420327e-05	0.261253939082652	0.576	0.326	0.335594130884716
RARRES2	3.66739259722908e-06	0.261075148122237	0.762	0.333	0.0648725076523852
ABCA6	2.48383083975097e-08	0.261055287775819	0.258	0.023	0.00043936483724355
ASAP2	6.4994680330609e-10	0.26090270678385	0.285	0.015	1.14969090036814e-05
FXYD1	0.000182223922868354	0.260680811827586	0.338	0.159	1
PGRMC1	2.19996423401533e-06	0.260017142543147	0.543	0.25	0.0389151673354972
C2orf40	3.11513629537306e-06	0.259837396102549	0.152	0	0.0551036459288541
