p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HLA-DPA1	8.8293506778695e-37	0.354350280310494	0.619	0.383	1.17430364015664e-32	CD8+ T cells	HLA-DPA1
PDE4B	1.34164119575101e-36	0.270560403636223	0.453	0.2	1.78438279034885e-32	CD8+ T cells	PDE4B
ITM2A	2.14808839629533e-36	0.303384762673206	0.513	0.267	2.85695756707279e-32	CD8+ T cells	ITM2A
LTB	1.12473826610998e-35	0.30951075993376	0.334	0.117	1.49590189392628e-31	CD8+ T cells	LTB
CD44	1.39957066788421e-35	0.298794047847997	0.657	0.409	1.861428988286e-31	CD8+ T cells	CD44
HLA-DPB1	2.28701034237471e-35	0.347168853305776	0.659	0.427	3.04172375535837e-31	CD8+ T cells	HLA-DPB1
DNAJB1	7.74302692364282e-35	0.397251184560018	0.806	0.608	1.0298225808445e-30	CD8+ T cells	DNAJB1
HLA-DRA	1.4348764292073e-34	0.407968515073906	0.387	0.163	1.90838565084571e-30	CD8+ T cells	HLA-DRA
HLA-DQA1	7.18934867632068e-34	0.314950207784441	0.357	0.14	9.5618337395065e-30	CD8+ T cells	HLA-DQA1
GSTK1	3.42081428144857e-33	0.267522476696855	0.635	0.407	4.5496829943266e-29	CD8+ T cells	GSTK1
SH3BGRL3	4.7798862309283e-33	0.272141311559046	0.996	0.959	6.35724868713464e-29	CD8+ T cells	SH3BGRL3
SAMSN1	1.1946487669883e-30	0.300339141530808	0.601	0.374	1.58888286009444e-26	CD8+ T cells	SAMSN1
CNN2	9.69690570343641e-30	0.263302649744754	0.607	0.388	1.28968845855704e-25	CD8+ T cells	CNN2
EZR	2.36361877711026e-28	0.274350203121901	0.61	0.387	3.14361297355664e-24	CD8+ T cells	EZR
DUSP4	1.06095984785073e-27	0.312087628440338	0.315	0.123	1.41107659764147e-23	CD8+ T cells	DUSP4
RGCC	1.38069782272438e-27	0.339391517012083	0.519	0.3	1.83632810422343e-23	CD8+ T cells	RGCC
TUBA4A	2.14135118880787e-27	0.319350487113122	0.553	0.344	2.84799708111447e-23	CD8+ T cells	TUBA4A
CCL5	2.9385345430279e-23	0.259923383148093	0.995	0.94	3.90825094222711e-19	CD8+ T cells	CCL5
RPS4Y1	3.04176431675099e-21	0.285249124916071	0.506	0.327	4.04554654127881e-17	CD8+ T cells	RPS4Y1
TNFAIP3	3.17465969935458e-18	0.269347661619143	0.769	0.643	4.22229740014159e-14	CD8+ T cells	TNFAIP3
ZFP36L2	1.02657941415421e-12	0.298036082205949	0.902	0.895	1.3653506208251e-08	CD8+ T cells	ZFP36L2
FCGR3A	2.99238613360851e-266	1.12042662362664	0.843	0.139	3.97987355769932e-262	NK cells	FCGR3A
FGFBP2	6.18097941557848e-256	1.22179644080342	0.847	0.151	8.22070262271937e-252	NK cells	FGFBP2
TYROBP	1.49852553970385e-253	1.16380607541458	0.942	0.195	1.99303896780613e-249	NK cells	TYROBP
SPON2	4.11504216855012e-175	0.967847051675147	0.662	0.134	5.47300608417166e-171	NK cells	SPON2
NKG7	1.4942964660667e-172	0.752967105731419	0.999	0.961	1.98741429986871e-168	NK cells	NKG7
KLRF1	2.49881983596131e-171	0.611771268334905	0.63	0.089	3.32343038182854e-167	NK cells	KLRF1
PRF1	1.02090003759723e-152	0.858373100884471	0.917	0.586	1.35779705000432e-148	NK cells	PRF1
CD247	1.51500639098271e-143	0.723850837171604	0.919	0.576	2.014958500007e-139	NK cells	CD247
GNLY	1.1063937855626e-141	1.0735975173162	0.876	0.394	1.47150373479826e-137	NK cells	GNLY
GZMB	9.55381352543958e-141	0.824712424555546	0.943	0.542	1.27065719888346e-136	NK cells	GZMB
PLAC8	1.66673941932204e-130	0.571504070913147	0.606	0.134	2.21676342769831e-126	NK cells	PLAC8
FCER1G	6.6652172448543e-130	0.717943027122821	0.626	0.132	8.86473893565622e-126	NK cells	FCER1G
CST7	2.23238851944702e-126	0.604493718008351	0.994	0.926	2.96907673086453e-122	NK cells	CST7
KLRD1	6.78073590785264e-122	0.67548808096318	0.825	0.363	9.01837875744402e-118	NK cells	KLRD1
CX3CR1	1.0743472790969e-119	0.537168119128543	0.503	0.087	1.42888188119888e-115	NK cells	CX3CR1
CCL3	1.49155307010936e-110	1.33619570942961	0.669	0.237	1.98376558324545e-106	NK cells	CCL3
SH2D1B	2.42874774197761e-108	0.455024307361164	0.461	0.075	3.23023449683022e-104	NK cells	SH2D1B
S1PR5	7.43861608969228e-99	0.474786117856167	0.529	0.133	9.89335939929074e-95	NK cells	S1PR5
ADGRG1	1.00281378722014e-98	0.45477459679711	0.472	0.097	1.33374233700279e-94	NK cells	ADGRG1
IGFBP7	1.00632574756832e-96	0.355732265433136	0.29	0.016	1.33841324426587e-92	NK cells	IGFBP7
EFHD2	6.65267868840691e-88	0.543651001522966	0.681	0.306	8.84806265558119e-84	NK cells	EFHD2
CLIC3	1.14446680630247e-86	0.603601027205951	0.703	0.31	1.52214085238229e-82	NK cells	CLIC3
PRSS23	8.27604275343233e-85	0.397244344831051	0.384	0.068	1.1007136862065e-80	NK cells	PRSS23
TTC38	5.31829637105659e-84	0.386529676127093	0.435	0.1	7.07333417350526e-80	NK cells	TTC38
KLRB1	5.78463996298073e-84	0.625151924278851	0.78	0.356	7.69357115076437e-80	NK cells	KLRB1
TRBC1	2.26190733370353e-80	0.621477942188007	0.776	0.435	3.00833675382569e-76	NK cells	TRBC1
CTSW	4.30992178842825e-79	0.552519995641541	0.921	0.747	5.73219597860957e-75	NK cells	CTSW
PLEK	8.27333706098069e-79	0.520304999370645	0.682	0.309	1.10035382911043e-74	NK cells	PLEK
NCR3	8.32341939294015e-78	0.404514606529564	0.413	0.095	1.10701477926104e-73	NK cells	NCR3
TRDC	1.98686683879936e-70	0.340365305106321	0.518	0.149	2.64253289560314e-66	NK cells	TRDC
TXK	1.29772781023608e-68	0.318613099516748	0.38	0.085	1.72597798761399e-64	NK cells	TXK
CCL4	1.41176875063669e-67	0.815217381343138	0.985	0.851	1.87765243834679e-63	NK cells	CCL4
LITAF	1.25525185918275e-63	0.480959461894846	0.825	0.61	1.66948497271306e-59	NK cells	LITAF
CD300A	4.02467791668664e-63	0.37700956729737	0.478	0.166	5.35282162919323e-59	NK cells	CD300A
IFITM2	4.22902258044032e-58	0.41856800622991	0.977	0.863	5.62460003198563e-54	NK cells	IFITM2
RAP1B	7.45535116361114e-55	0.435787506714697	0.764	0.551	9.91561704760282e-51	NK cells	RAP1B
ITGB2	3.37984855173714e-51	0.413148939050464	0.827	0.62	4.4951985738104e-47	NK cells	ITGB2
GK5	8.6789187368224e-51	0.267120110528142	0.316	0.082	1.15429619199738e-46	NK cells	GK5
IER2	1.04604887608873e-50	0.517473433174312	0.876	0.706	1.39124500519801e-46	NK cells	IER2
FGR	4.25728396396224e-49	0.302054879771528	0.416	0.149	5.66218767206978e-45	NK cells	FGR
HOPX	1.07829467214431e-44	0.384172714504458	0.677	0.39	1.43413191395193e-40	NK cells	HOPX
C1orf21	7.72810922782894e-43	0.300509861735889	0.43	0.175	1.02783852730125e-38	NK cells	C1orf21
TGFBR3	4.6162619718374e-42	0.289605278400214	0.406	0.158	6.13962842254375e-38	NK cells	TGFBR3
XBP1	6.53306463973388e-42	0.390875658741911	0.544	0.296	8.68897597084606e-38	NK cells	XBP1
KLRC3	4.82772363429025e-41	0.351573409901015	0.423	0.174	6.42087243360603e-37	NK cells	KLRC3
XCL2	5.02965462350182e-36	0.460416195596161	0.561	0.31	6.68944064925742e-32	NK cells	XCL2
CCL4L2	1.99094393130472e-35	0.859388000654303	0.762	0.572	2.64795542863528e-31	NK cells	CCL4L2
HSH2D	3.18208107049049e-34	0.256251148695596	0.334	0.13	4.23216782375235e-30	NK cells	HSH2D
KLF2	7.38022622406078e-34	0.327732665573317	0.543	0.286	9.81570087800084e-30	NK cells	KLF2
APMAP	4.67909093367322e-31	0.296063891518891	0.655	0.439	6.22319094178538e-27	NK cells	APMAP
ZEB2	5.56860598732072e-31	0.309746449843831	0.548	0.33	7.40624596313656e-27	NK cells	ZEB2
CYBA	7.91573384417849e-31	0.262887214432183	0.965	0.916	1.05279260127574e-26	NK cells	CYBA
GZMH	5.06925156130236e-30	0.283884184267981	0.836	0.598	6.74210457653214e-26	NK cells	GZMH
TXNIP	5.13145602714412e-30	0.347046104606866	0.681	0.468	6.82483651610168e-26	NK cells	TXNIP
MBP	4.62582080790654e-29	0.315587439246351	0.657	0.492	6.1523416745157e-25	NK cells	MBP
GNG2	1.3464097367191e-28	0.324540885644149	0.747	0.606	1.7907249498364e-24	NK cells	GNG2
AES	2.3058736044459e-24	0.282608992040968	0.71	0.542	3.06681189391305e-20	NK cells	AES
ARL4C	2.41645854337226e-24	0.289274514000678	0.638	0.463	3.21388986268511e-20	NK cells	ARL4C
MYL12A	1.24487849694695e-23	0.251385882755184	0.957	0.922	1.65568840093945e-19	NK cells	MYL12A
EMP3	2.19543741931868e-23	0.283470581901821	0.738	0.609	2.91993176769384e-19	NK cells	EMP3
SH2D2A	4.03468185850271e-23	0.299406253248746	0.662	0.509	5.3661268718086e-19	NK cells	SH2D2A
CCND3	9.07798786718831e-21	0.29254384621224	0.59	0.441	1.20737238633604e-16	NK cells	CCND3
XCL1	2.37407494192334e-19	0.276342689012607	0.51	0.321	3.15751967275805e-15	NK cells	XCL1
FLNA	8.27310622115969e-19	0.276967689788444	0.702	0.577	1.10032312741424e-14	NK cells	FLNA
BIN2	1.53849969698318e-18	0.254104087076009	0.587	0.443	2.04620459698763e-14	NK cells	BIN2
GADD45B	9.90930462595525e-15	0.333479973909079	0.659	0.54	1.31793751525205e-10	NK cells	GADD45B
NFKBIA	5.24785232542418e-06	0.360129877899587	0.68	0.651	0.0697964359281416	NK cells	NFKBIA
CCL3L1	0.00489885914312908	0.459798816142852	0.264	0.224	1	NK cells	CCL3L1
KIR2DL4	1.06834383513192e-107	0.648058942584564	0.468	0.055	1.42089730072545e-103	Regulatory T cells	KIR2DL4
CD7	7.55824548224069e-76	0.932174557804647	0.959	0.8	1.00524664913801e-71	Regulatory T cells	CD7
GEM	3.83322692743795e-72	0.505262384584846	0.276	0.024	5.09819181349247e-68	Regulatory T cells	GEM
KRT86	1.22854020283607e-71	0.439485709765137	0.29	0.028	1.63395846977197e-67	Regulatory T cells	KRT86
TNFRSF18	2.03512767251848e-71	0.531495391734128	0.348	0.047	2.70671980444957e-67	Regulatory T cells	TNFRSF18
ENTPD1	2.72174820600684e-71	0.351431346761269	0.28	0.026	3.61992511398909e-67	Regulatory T cells	ENTPD1
ATP8B4	6.44000269264969e-64	0.293578729491844	0.29	0.034	8.56520358122409e-60	Regulatory T cells	ATP8B4
TMIGD2	2.67365186421459e-63	0.443576988828082	0.42	0.083	3.55595697940541e-59	Regulatory T cells	TMIGD2
FCER1G1	1.51708408980821e-62	0.699359706955988	0.679	0.224	2.01772183944491e-58	Regulatory T cells	FCER1G
LAT2	8.07739330528076e-53	0.400687017185802	0.471	0.124	1.07429330960234e-48	Regulatory T cells	LAT2
TRDC1	3.67556793011495e-52	0.678535833378881	0.594	0.213	4.88850534705289e-48	Regulatory T cells	TRDC
SPRY1	3.89719192585075e-39	0.309628321004515	0.345	0.083	5.18326526138149e-35	Regulatory T cells	SPRY1
IL2RB	3.61581669733114e-38	0.56426615065098	0.754	0.449	4.80903620745042e-34	Regulatory T cells	IL2RB
CXXC5	6.25919196027556e-38	0.283645840347034	0.331	0.081	8.32472530716649e-34	Regulatory T cells	CXXC5
KLRC1	2.44636331073311e-37	0.609862657211116	0.468	0.167	3.25366320327503e-33	Regulatory T cells	KLRC1
CD63	5.48299703270256e-35	0.408039047219769	0.775	0.448	7.2923860534944e-31	Regulatory T cells	CD63
CD160	1.05781663150731e-34	0.418074519057476	0.372	0.112	1.40689611990472e-30	Regulatory T cells	CD160
AREG	2.75596657048725e-32	0.650760417866158	0.543	0.237	3.66543553874805e-28	Regulatory T cells	AREG
PHYKPL	4.89721769878863e-32	0.420405560870439	0.509	0.217	6.51329953938888e-28	Regulatory T cells	PHYKPL
GSTP1	2.60259960466749e-29	0.56158700006493	0.85	0.646	3.46145747420777e-25	Regulatory T cells	GSTP1
TYROBP1	1.73585531518812e-28	0.522876938883826	0.706	0.378	2.3086875692002e-24	Regulatory T cells	TYROBP
ACP5	3.08848968539182e-26	0.334274033485214	0.396	0.153	4.10769128157112e-22	Regulatory T cells	ACP5
PTMA	5.83303939786002e-26	0.291231856405711	1	0.999	7.75794239915383e-22	Regulatory T cells	PTMA
SH2D1B1	2.50464102451508e-22	0.262856023736719	0.399	0.161	3.33117256260506e-18	Regulatory T cells	SH2D1B
ITGAE	2.51309893797108e-22	0.344191184122123	0.491	0.24	3.34242158750154e-18	Regulatory T cells	ITGAE
CEBPD	3.79322158799707e-21	0.323881969292175	0.358	0.145	5.0449847120361e-17	Regulatory T cells	CEBPD
MPG	8.4234334200717e-21	0.266259896693646	0.478	0.234	1.12031664486954e-16	Regulatory T cells	MPG
TPI1	3.50008154887017e-20	0.366049598349543	0.826	0.637	4.65510845999733e-16	Regulatory T cells	TPI1
PABPC1	1.48905803260002e-19	0.358963113269271	0.935	0.869	1.98044718335802e-15	Regulatory T cells	PABPC1
PHLDA1	9.0292391376958e-19	0.416339796632747	0.403	0.192	1.20088880531354e-14	Regulatory T cells	PHLDA1
MIF	1.60764447791534e-18	0.308757865842687	0.922	0.782	2.1381671556274e-14	Regulatory T cells	MIF
RHOC	2.01810042385555e-17	0.256659003790217	0.543	0.309	2.68407356372788e-13	Regulatory T cells	RHOC
NR4A1	6.76636548296872e-17	0.393625481528764	0.539	0.318	8.99926609234839e-13	Regulatory T cells	NR4A1
NME2	9.23665528580933e-17	0.301107831920847	0.703	0.49	1.22847515301264e-12	Regulatory T cells	NME2
CAPG	2.41608771538625e-16	0.300506470248121	0.375	0.174	3.21339666146371e-12	Regulatory T cells	CAPG
IFITM3	5.46450253711484e-16	0.346681249963778	0.403	0.215	7.26778837436274e-12	Regulatory T cells	IFITM3
XCL11	1.18549872183094e-14	0.795724938982764	0.529	0.356	1.57671330003514e-10	Regulatory T cells	XCL1
CCND2	1.26701321700351e-14	0.314166473440891	0.553	0.35	1.68512757861467e-10	Regulatory T cells	CCND2
LDLRAD4	2.57941130250105e-14	0.283878425532406	0.396	0.204	3.43061703232639e-10	Regulatory T cells	LDLRAD4
COTL11	8.28198306323776e-14	0.380909848195284	0.693	0.487	1.10150374741062e-09	Regulatory T cells	COTL1
RBPJ	1.2106771526269e-13	0.298939675691349	0.379	0.199	1.61020061299377e-09	Regulatory T cells	RBPJ
STMN1	1.19412202968669e-12	0.48704602918499	0.276	0.134	1.58818229948329e-08	Regulatory T cells	STMN1
GATA3	1.27988968043914e-11	0.272489245388073	0.437	0.266	1.70225327498406e-07	Regulatory T cells	GATA3
MATK	9.55387359959764e-11	0.250958048235375	0.577	0.422	1.27066518874649e-06	Regulatory T cells	MATK
IFITM21	1.16002376326829e-10	0.290601625638673	0.928	0.893	1.54283160514682e-06	Regulatory T cells	IFITM2
NFKBIZ	1.8998942728413e-09	0.270606724670372	0.468	0.309	2.52685938287893e-05	Regulatory T cells	NFKBIZ
LSP1	4.76900646652456e-09	0.253975557317308	0.901	0.857	6.34277860047767e-05	Regulatory T cells	LSP1
KLRB11	5.62495143328455e-09	0.293390521751768	0.638	0.461	7.48118540626845e-05	Regulatory T cells	KLRB1
RGS11	7.3229006150006e-09	0.253291788762375	0.618	0.456	9.73945781795081e-05	Regulatory T cells	RGS1
TIGIT	7.97697713156252e-09	0.303420334176229	0.491	0.361	0.000106093795849782	Regulatory T cells	TIGIT
ZNF331	1.3618548056714e-08	0.322863558792338	0.597	0.463	0.000181126689154297	Regulatory T cells	ZNF331
GAPDH	3.78008606058352e-08	0.436847125958818	0.98	0.98	0.000502751446057608	Regulatory T cells	GAPDH
REL	4.38810339953483e-08	0.262332367049584	0.625	0.499	0.000583617752138132	Regulatory T cells	REL
XCL21	7.45875316004751e-08	0.458766196722813	0.491	0.37	0.000992014170286319	Regulatory T cells	XCL2
GZMA	0.000111288337712404	0.758335578959703	0.843	0.91	1	Regulatory T cells	GZMA
TUBB	0.000643833491608914	0.266049046333365	0.526	0.457	1	Regulatory T cells	TUBB
HSPA1A	0.00116711606116504	0.289681363449246	0.372	0.29	1	Regulatory T cells	HSPA1A
TUBA1B	0.0034889457881078	0.308463648320907	0.553	0.499	1	Regulatory T cells	TUBA1B
