	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CDKN1C	2.16061473430316e-18	0.573291978749238	0.334	0.039	2.87188910483577e-14
CXCL2	2.1719806723609e-18	-0.835181275210205	0.348	0.688	2.88699670970211e-14
RAB31	3.4347239126715e-18	-0.481349787936879	0.575	0.844	4.56543502472296e-14
RPL14	8.519681097487e-18	0.328676405745942	1	0.984	1.13243601147797e-13
TYROBP	1.0998964301179e-17	0.267750167764031	1	1	1.46198233491271e-13
SEMA6B	1.13342005669014e-17	-0.421595315120216	0.052	0.332	1.50654193935253e-13
RPL37	1.8982117199251e-17	0.336906358616309	1	1	2.52310301812445e-13
STXBP2	2.37887194195227e-17	0.532130620703568	0.892	0.758	3.16199658524295e-13
COX7C	4.03963185277699e-17	0.354105232130399	0.979	0.855	5.36947865871118e-13
MT-ATP8	4.68745803701434e-17	0.425635749158344	1	0.996	6.23056922279946e-13
RPS4X	4.72748224038931e-17	0.329004722591494	1	0.996	6.28376939392547e-13
CD99	5.43269050573001e-17	-0.547494427403078	0.387	0.727	7.22113222021633e-13
RPS23	5.71542747845377e-17	0.323135978043632	1	1	7.59694620436075e-13
CTSL	7.68363632032406e-17	-0.819246528332841	0.422	0.727	1.02130893969747e-12
SERPINA1	1.10354699380488e-16	0.436397690588938	0.986	0.961	1.46683466416545e-12
IFITM3	1.56341212412092e-16	0.641926384706463	0.958	0.906	2.07808739538153e-12
RHOB	3.20536454120813e-16	0.554922225562235	0.739	0.473	4.26057054817384e-12
ATP5MC2	3.62236322862559e-16	0.322630987038573	0.997	0.965	4.81484520348914e-12
C5AR1	3.66299727947559e-16	0.497910078366639	0.836	0.664	4.86885598387895e-12
RPL10	4.36247755260039e-16	0.268980394776694	1	1	5.79860516291643e-12
EMP1	5.25205252137628e-16	-0.526370563419575	0.038	0.289	6.98102821141335e-12
CYTIP	6.17468865124645e-16	0.508474967129769	0.62	0.289	8.20739615523678e-12
JUNB	7.86479126568576e-16	0.373657033463209	0.986	0.98	1.04538805503495e-11
RPL29	9.87639410276033e-16	0.292003862816545	1	1	1.3127703041389e-11
LINC02432	1.04278781727643e-15	0.355221644880982	0.272	0.023	1.38607356672383e-11
NAP1L1	1.04646712529364e-15	0.479871691720831	0.784	0.586	1.39096410294031e-11
SLC39A8	1.08734153701595e-15	-0.423093579152855	0.021	0.25	1.4452943710016e-11
EIF1	1.16327136673049e-15	0.281335551248066	1	1	1.54622030065817e-11
SOCS3	1.4966639207008e-15	-0.597450195223643	0.606	0.816	1.9893656833955e-11
EVL	1.71625029696591e-15	0.359611055956969	0.397	0.105	2.28123989472708e-11
S100A10	1.81257001713787e-15	-0.825391826910043	0.958	0.984	2.40926806677965e-11
NAAA	2.30301821957135e-15	0.425638251056659	0.571	0.25	3.06117181745424e-11
RPL12	3.31564711158544e-15	0.273580438510996	1	0.996	4.40715814071937e-11
RNASET2	4.61336199387587e-15	0.369750611421327	0.92	0.781	6.1320807622598e-11
C19orf38	4.76624603304249e-15	0.392222081760722	0.624	0.301	6.33529422712008e-11
HMOX1	6.29657174160271e-15	0.40401152421509	0.603	0.273	8.36940315893833e-11
RPS24	8.35581566173346e-15	0.286088738550681	1	1	1.11065501775761e-10
ITM2B	8.68682365846727e-15	0.339644025160758	0.979	0.957	1.15465260068347e-10
TIMP1	1.00893026691757e-14	-1.007041858221	0.962	0.965	1.34107011078684e-10
TRAF3IP3	1.02187605065096e-14	0.372471597253262	0.449	0.156	1.35827764652526e-10
CARD16	1.39000802777718e-14	0.362511536383184	0.864	0.668	1.84759867052142e-10
PIM3	1.87822633377715e-14	-0.560210848946734	0.317	0.578	2.49653844285659e-10
SPHK1	2.39512094048591e-14	-0.385016739513378	0.077	0.328	3.18359475409387e-10
LSP1	3.14953941624207e-14	0.34652947209558	0.948	0.758	4.18636779206897e-10
HLA-DPA1	4.19863674204587e-14	0.486834280638202	0.976	0.934	5.58082795752737e-10
CFD	5.5326925049314e-14	0.477663285339035	0.868	0.738	7.35405487755481e-10
RPS12	6.20004468401136e-14	0.269062353019309	1	1	8.2410993939879e-10
LITAF	7.60506715661073e-14	-0.617789519149245	0.676	0.848	1.0108655264567e-09
CD14	8.20098122016077e-14	-0.432654600897123	0.578	0.879	1.09007442378377e-09
MS4A7	9.69655070973482e-14	0.722231395841441	0.819	0.707	1.28886552033795e-09
VEGFA	9.99562458645411e-14	-0.476284767448484	0.178	0.461	1.32861842003148e-09
TMEM176A	1.06532000679691e-13	-0.444002155816137	0.24	0.523	1.41602335303446e-09
UNC119	1.10729582666925e-13	0.323525621330137	0.446	0.16	1.47181761280877e-09
PKM	1.25464306782793e-13	-0.433210684183372	0.746	0.949	1.66767156575689e-09
ACP5	1.28278481187252e-13	-0.525812193844186	0.226	0.508	1.70507757194095e-09
RPL26	1.35850948332541e-13	0.291160336828105	1	1	1.80573080523613e-09
S100A8	1.63191912549927e-13	-0.423157092800762	0.627	0.926	2.16914690161363e-09
POU2F2	1.9770686351273e-13	0.402591382451962	0.648	0.34	2.6279196298112e-09
SNHG8	2.78617890086376e-13	0.356772779672613	0.554	0.25	3.70338899502812e-09
GIMAP4	3.15507748250796e-13	0.331756317108502	0.557	0.242	4.19372898974958e-09
SLC25A37	3.24364286640129e-13	-0.621152269461604	0.268	0.523	4.31145009802059e-09
EVI2B	3.28793166684211e-13	0.419212263688003	0.655	0.371	4.37031877156654e-09
PECAM1	3.67035583743238e-13	0.585902448690612	0.676	0.48	4.87863697911512e-09
PMP22	3.77799729616115e-13	-0.337448322594268	0.024	0.227	5.0217140060574e-09
ATP13A3	3.80777802993211e-13	-0.498955504492951	0.178	0.438	5.06129855738576e-09
CXCL3	4.26258384332992e-13	-0.956354896210192	0.132	0.391	5.66582644455413e-09
CUX1	4.95363521470088e-13	0.608547563693802	0.564	0.309	6.58437192738041e-09
ETS2	5.15898533793448e-13	-0.571636310075083	0.289	0.523	6.85732331118251e-09
RPL11	5.16973588730657e-13	0.256638123915749	1	0.996	6.87161294140789e-09
SDC2	5.83122687725952e-13	-0.353753031619212	0.017	0.207	7.75086676525336e-09
MNDA	6.1074756291065e-13	0.377774809664877	0.732	0.457	8.11805660620835e-09
RPL34	6.37106175122293e-13	0.261112969473997	1	1	8.46841527972552e-09
IL7R	6.45250616118766e-13	-0.766846196914061	0.007	0.184	8.57667118945064e-09
IFITM1	7.28610775765027e-13	0.573523247802287	0.432	0.145	9.68469443146875e-09
ABL2	8.50693508951747e-13	-0.34914436235746	0.063	0.285	1.13074181209866e-08
RPS21	9.26810019220808e-13	0.252691365198949	1	0.996	1.2319158775483e-08
SLC25A6	1.057518399105e-12	0.287834760101729	0.979	0.938	1.40565345609037e-08
FCN1	1.13886699666925e-12	0.441544533859887	0.906	0.703	1.51378201197277e-08
VSTM1	1.1969071690813e-12	0.257521977679276	0.223	0.02	1.59092900914286e-08
CD63	1.61671380767843e-12	-0.457937719848395	0.564	0.832	2.14893599316617e-08
JPT1	1.72585872830222e-12	0.409033046519433	0.676	0.43	2.29401142165931e-08
PDE4B	1.86402675905738e-12	-0.577285729697645	0.387	0.625	2.47766436813907e-08
GSTK1	1.93805806989486e-12	0.370889023459652	0.749	0.594	2.57606678650425e-08
CLEC12A	2.00499137211225e-12	0.314757467588316	0.509	0.203	2.6650345318116e-08
TESC	2.31204872621425e-12	0.302733322385764	0.446	0.168	3.07317516688398e-08
CALHM6	2.53153716268917e-12	0.424878977838158	0.659	0.418	3.36491919664645e-08
RPS27A	2.63348687302716e-12	0.232733899502987	1	0.992	3.50043075162771e-08
DSE	2.91334683993191e-12	-0.400638225860546	0.202	0.457	3.87242061963749e-08
YPEL3	3.00021731941459e-12	0.320487951922626	0.502	0.219	3.98788886096588e-08
ZFAND5	3.59740784429942e-12	0.383919425607928	0.808	0.648	4.7816745066428e-08
RPL19	3.94902715576034e-12	0.228023997453867	1	1	5.24904689543665e-08
C1orf162	4.06783855318258e-12	0.343594904674496	0.864	0.703	5.40697100489029e-08
PILRA	4.12071345876595e-12	0.428019519545303	0.798	0.613	5.4772523293917e-08
RSRP1	4.6189659387403e-12	0.361663402410286	0.613	0.316	6.13952952577361e-08
WAS	6.19673760168825e-12	0.332425692029532	0.735	0.469	8.23670362016402e-08
FTL	7.17078615653944e-12	0.219577163130117	1	1	9.53140895927222e-08
BIN2	7.57476906242535e-12	0.343346089998676	0.484	0.223	1.00683830377758e-07
ASAH1	8.23286157845525e-12	0.342547788741266	0.885	0.75	1.09431196100827e-07
RPS3	8.94691207209586e-12	0.225886282936985	1	0.996	1.18922355262298e-07
MT-CO1	9.15218424232645e-12	0.231454454806367	1	1	1.21650832949003e-07
RPS15A	1.02253566904959e-11	0.245684985092388	1	1	1.35915441130072e-07
LTB	1.11504425891964e-11	0.267860693000053	0.286	0.062	1.48211682895599e-07
FAM129B	1.15630336032905e-11	-0.297165556989748	0.073	0.289	1.53695842654937e-07
B2M	1.39123510632745e-11	0.187069684255386	1	1	1.84922970333045e-07
ARPC3	1.55152560637746e-11	0.261835687539328	0.986	0.977	2.06228783599692e-07
RPL39	1.66381048430437e-11	0.207038738658614	1	1	2.21153689573737e-07
C20orf27	1.70652086756458e-11	0.307452024426291	0.519	0.242	2.26830753716683e-07
MOB3B	1.7222416125817e-11	-0.18841274343378	0.035	0.227	2.2892035514436e-07
ICAM3	1.87091583486226e-11	0.374774476869239	0.505	0.238	2.48682132769892e-07
TNIP3	1.92759904706118e-11	-0.525520326516661	0.007	0.164	2.56216465335372e-07
CKS2	2.42510507899461e-11	0.353330124130126	0.387	0.133	3.22344967099964e-07
CEBPB	2.55391456524114e-11	-0.498790088919028	0.599	0.762	3.39466324011852e-07
MT-ND1	2.89884339593079e-11	-0.276372471169515	0.997	1	3.85314264187121e-07
ELF1	2.91111740898219e-11	0.291160336828106	0.561	0.277	3.86945726001913e-07
SH3PXD2B	3.50775286045047e-11	-0.25717805774601	0.021	0.191	4.66250510211077e-07
PHLDA1	3.6400223730112e-11	-0.49796524942137	0.098	0.32	4.83831773820648e-07
KIFC3	4.01248855320232e-11	-0.230189913028363	0.021	0.191	5.33339978491653e-07
SARAF	4.07071620017972e-11	0.380642023862575	0.822	0.719	5.41079597327888e-07
IL1A	4.40238002331886e-11	-0.359281806495947	0.024	0.199	5.85164352699543e-07
ADGRE1	4.4140174283167e-11	0.264793460987364	0.254	0.051	5.86711196571856e-07
C7orf50	6.41630730553619e-11	0.246277121332879	0.31	0.086	8.5285556705187e-07
GMFG	7.65602882210939e-11	0.303660499592337	0.843	0.723	1.01763935103478e-06
PSME1	7.90867209527854e-11	0.291656984466822	0.875	0.77	1.05122069490442e-06
PDE4DIP	8.90195917446641e-11	-0.320375508285677	0.091	0.305	1.18324841347008e-06
SLC16A10	9.65976888919129e-11	-0.23966934438884	0.01	0.164	1.28397648075131e-06
LMNA	1.02421937019406e-10	-0.70299682329699	0.091	0.301	1.36139238686194e-06
SELPLG	1.05760826908669e-10	0.306650395977425	0.526	0.25	1.40577291127003e-06
RAB13	1.1066497268093e-10	-0.368663341942193	0.101	0.316	1.47095881687493e-06
ERP29	1.21380167956202e-10	0.300009952105088	0.718	0.484	1.61338519247384e-06
HLA-E	1.47986828204338e-10	0.319855597655796	0.986	0.965	1.96704092049205e-06
PTMA	1.52169437817988e-10	0.178533159792593	1	0.996	2.0226361674767e-06
RPL28	1.89854785969626e-10	0.204430464259213	1	1	2.52354981510827e-06
GNA15	2.05772721248238e-10	-0.259812354951297	0.118	0.344	2.73513101083158e-06
GPBAR1	2.11087671833959e-10	0.275376469126844	0.355	0.121	2.80577733401699e-06
MIR4435-2HG	2.20219461626347e-10	-0.39388963349922	0.139	0.359	2.9271570839374e-06
NECTIN2	2.22453157513708e-10	-0.276663431525147	0.077	0.277	2.9568473696722e-06
SELENOK	2.25097133100644e-10	0.391712261751915	0.746	0.57	2.99199109317376e-06
RPS14	2.63378466458048e-10	0.228319796020853	1	1	3.50082657616037e-06
FNDC3B	2.93932714163275e-10	-0.343661276778987	0.185	0.406	3.90695363665826e-06
FLNB	3.06770083725232e-10	-0.215864971429555	0.01	0.156	4.07758795287578e-06
TRAF1	3.2344897114767e-10	-0.331139153401004	0.056	0.246	4.29928372449483e-06
RNF19B	3.36309698745288e-10	-0.326799928837233	0.101	0.309	4.47022851572237e-06
RPL23A	3.73889462329004e-10	0.239130242895202	0.99	0.961	4.96973873327712e-06
MIR155HG	4.07479054099972e-10	-0.406050238189096	0.035	0.207	5.41621158709683e-06
TMEM176B	4.19873536178908e-10	-0.30636522753588	0.436	0.73	5.58095904289004e-06
LYPD2	4.33020943652902e-10	0.667588392081725	0.16	0.008	5.75571438303438e-06
RPL24	5.05017635146586e-10	0.241904948179476	0.997	0.973	6.71269440636842e-06
C11orf21	5.63056262459915e-10	0.216959120234016	0.272	0.07	7.4841438406172e-06
SERP1	6.85252766646666e-10	0.22771276605758	0.979	0.91	9.10837977426749e-06
FCER1G	6.93196215221582e-10	0.241796071364686	0.993	0.996	9.21396409272527e-06
SOD1	7.95362618881613e-10	0.41832857029733	0.582	0.359	1.05719599301744e-05
VIM	7.99181609387498e-10	-0.518600235996071	0.993	0.996	1.06227219519786e-05
CD244	8.33746650663185e-10	0.161816478770646	0.181	0.02	1.10821604806151e-05
TUBA1A	8.45388646924454e-10	0.446040854906955	0.732	0.566	1.12369058949198e-05
PAPSS2	8.55160788835085e-10	0.634745186861033	0.561	0.344	1.1366797205196e-05
OPTN	9.04339064538737e-10	-0.214388229837041	0.049	0.227	1.20204748458489e-05
BATF	9.63221831975181e-10	-0.269815070623356	0.084	0.281	1.28031445906141e-05
FXYD5	1.02440071544658e-09	0.252472814836483	0.972	0.922	1.36163343097159e-05
STX10	1.06940082086697e-09	0.267207095805613	0.491	0.242	1.42144757109637e-05
MT-ND4	1.09877564247515e-09	-0.276689715382041	0.997	1	1.46049258397797e-05
RPS15	1.10812587835603e-09	0.203998983084591	1	1	1.47292091751084e-05
RPS18	1.165429752601e-09	0.246551260280724	1	0.988	1.54908922715725e-05
SIGLEC10	1.17133138965877e-09	0.289007483467005	0.383	0.152	1.55693368313443e-05
PRDM1	1.26824226333944e-09	-0.450777007901272	0.143	0.352	1.68574761643078e-05
GK	1.27901816303188e-09	-0.441600292980054	0.481	0.672	1.70007094230197e-05
EIF3K	1.31180422983289e-09	0.253119482922636	0.923	0.836	1.74365018229387e-05
RPS25	1.35737252680612e-09	0.239416607091974	1	0.984	1.8042195626307e-05
OAS1	1.44527370223833e-09	0.265816861822087	0.422	0.184	1.92105780501518e-05
RPS9	1.46956541851265e-09	0.230260447771322	1	1	1.95334635428701e-05
RPL30	1.50648450771306e-09	0.206177826679482	1	1	2.00241920765219e-05
OLR1	1.50844365189385e-09	-0.395540879426014	0.244	0.48	2.00502330209731e-05
ITGA5	1.57346758657648e-09	-0.312282225146566	0.143	0.355	2.09145311607746e-05
DPEP2	1.61564990540003e-09	0.28204865647685	0.338	0.125	2.14752185425772e-05
SYNGR2	2.10376348948328e-09	0.312376175978378	0.77	0.617	2.79632243022118e-05
RPL9	2.11831445900925e-09	0.24941391423185	0.993	0.977	2.81566357891509e-05
SUPT4H1	2.22741362498158e-09	0.295594933895971	0.571	0.332	2.96067819032552e-05
PNRC1	2.25601785266664e-09	-0.462490172564924	0.951	0.977	2.99869892976449e-05
TXN	2.26325113590305e-09	-0.540093352360137	0.523	0.727	3.00831340984233e-05
CDCP1	2.35488684920822e-09	-0.17968753054291	0.024	0.176	3.13011559996756e-05
ADAM8	2.414118399189e-09	-0.275390008775985	0.143	0.367	3.20884617620202e-05
CASP1	2.59207014490531e-09	0.280159125766132	0.666	0.418	3.44537963660814e-05
ALOX5AP	2.67410824112747e-09	-0.323559210433601	0.08	0.273	3.55442467410664e-05
SP110	3.01506944842093e-09	0.274065903468806	0.491	0.25	4.00763031084109e-05
CD300E	3.04712483213935e-09	-0.489095872203408	0.62	0.711	4.05023832687963e-05
NINJ1	3.15761680132292e-09	-0.34491318642879	0.641	0.82	4.19710425231842e-05
ATP5IF1	3.20203007688737e-09	0.254346363705389	0.463	0.223	4.25613837819869e-05
FCGR3A	3.23097223261893e-09	0.746752187412538	0.606	0.496	4.29460829159708e-05
WSB1	3.42396880272852e-09	0.307008529068129	0.815	0.684	4.55113933258675e-05
NAGK	3.47180957483912e-09	0.269277625578598	0.585	0.324	4.61472928687615e-05
MTSS1	3.80937225438546e-09	0.304405563578126	0.47	0.23	5.06341760052916e-05
BLVRB	3.97614362083177e-09	0.348604342559186	0.561	0.355	5.28509010080959e-05
RPL32	4.26031273559073e-09	0.220619321121871	1	1	5.6628076881472e-05
CLEC2B	4.33836335903836e-09	0.281007965364088	0.484	0.234	5.76655257683379e-05
CD48	4.35135039141182e-09	0.278829724370627	0.791	0.598	5.7838149402646e-05
VSIR	4.77415356371918e-09	0.335520368903072	0.798	0.652	6.34580491689554e-05
IER3	4.89091551369128e-09	-0.449673255029834	0.714	0.887	6.50100490079845e-05
LYST	4.94365611125918e-09	0.297739307926148	0.575	0.336	6.5711077030857e-05
PPIF	4.99733346521848e-09	-0.522684483608304	0.415	0.625	6.6424556419684e-05
TNFAIP6	5.21161368869162e-09	-0.383729075158275	0.038	0.195	6.9272769150089e-05
PRAM1	5.36573234110226e-09	0.241175429386331	0.456	0.215	7.13213142779313e-05
MCEMP1	5.60745144411103e-09	-0.460902727268434	0.195	0.398	7.45342445951238e-05
ANP32A	5.90439627588033e-09	0.205169888972583	0.495	0.246	7.84812352990013e-05
TOMM7	6.03296953463963e-09	0.260204295382181	0.899	0.793	8.019023105443e-05
MEF2C	6.24507042809638e-09	0.253420008845259	0.571	0.309	8.30094761302571e-05
LY6E	6.78690174878755e-09	0.323413194467708	0.763	0.57	9.02114980448841e-05
CD300A	6.93650884256384e-09	0.277055730646564	0.512	0.277	9.22000755353585e-05
SNAI1	7.94517326953201e-09	-0.316104135033584	0.101	0.285	0.00010560724309862
TCF7L2	8.57790335423533e-09	0.295594933895971	0.324	0.125	0.000114017491384496
EREG	8.8116188501354e-09	-0.770524679247785	0.38	0.559	0.000117124037756
CX3CR1	9.15922195758707e-09	0.28327297199494	0.328	0.125	0.000121744378260247
ITGB8	9.21585789966635e-09	-0.259957524436926	0	0.109	0.000122497183202365
MAFF	1.08763948993178e-08	-0.24177553929289	0.115	0.312	0.000144569041001732
SYF2	1.08834969337273e-08	0.228461742612542	0.533	0.285	0.000144663441243103
IRAK2	1.1533532942867e-08	-0.194604713681702	0.038	0.191	0.000153303719876588
TBCA	1.16760005489395e-08	0.262663991998488	0.697	0.5	0.000155197399296503
SLC44A2	1.19105187730394e-08	0.192220388973202	0.247	0.066	0.00015831461553124
SH3BGRL	1.2042631208556e-08	0.274846761336582	0.77	0.609	0.000160070654024127
ITGA4	1.20435936047145e-08	0.266735784821031	0.54	0.301	0.000160083446193866
SGK1	1.20480926227538e-08	-0.327988598905819	0.533	0.727	0.000160143247141644
S100A9	1.37669409728306e-08	-0.287845645684625	0.753	0.957	0.000182990179410864
LIMS1	1.38609919388626e-08	-0.327948799203054	0.491	0.699	0.000184240304851362
MMP14	1.41082241546555e-08	-0.311015065526113	0.038	0.188	0.000187526515463681
CAPG	1.43917684176769e-08	-0.231288126765878	0.404	0.664	0.000191295385807761
RPL36	1.44823953274882e-08	0.194874351189097	1	0.996	0.000192499998692973
LRRC25	1.46370127429412e-08	0.302875952000668	0.582	0.367	0.000194555173379174
EFHD2	1.47182004745979e-08	-0.31331846553458	0.603	0.789	0.000195634320708355
HSD17B11	1.48360741048296e-08	0.230535715011671	0.453	0.219	0.000197201097001396
CISH	1.60166165648259e-08	-0.131399204639359	0.01	0.133	0.000212892867379666
RPS8	1.70696621559723e-08	0.212045455755698	1	0.996	0.000226889949377183
CXCL5	1.74484009478116e-08	-0.751931875454373	0	0.105	0.000231924145398312
PFDN5	1.77944735487472e-08	0.200998878481652	1	0.984	0.000236524142409948
CCL20	1.80832819501815e-08	-0.520776421999624	0.059	0.223	0.000240362983681813
EIF4A2	1.83163908884583e-08	0.29208841114066	0.505	0.293	0.000243461467689387
HMGB2	1.8992476537697e-08	0.221201748221195	0.31	0.113	0.000252447998139068
S100A4	1.91317934412497e-08	0.24110505976362	0.993	0.977	0.000254299798421092
RPL7A	1.94635904759871e-08	0.19894260327929	1	1	0.00025871004460682
GRINA	1.9936421715835e-08	-0.309293633274779	0.662	0.836	0.000264994917446879
FAM118A	2.08512689197574e-08	-0.201587555517928	0.07	0.238	0.000277155066481415
HIST2H2AA4	2.41148718113021e-08	0.221167965008071	0.286	0.098	0.000320534876115827
ANPEP	2.46976993172896e-08	-0.470008369829159	0.251	0.453	0.000328281819325413
RABGAP1L	2.48073646569564e-08	0.250886437690166	0.359	0.156	0.000329739491020264
PTPN6	2.67600810279993e-08	0.314238284110651	0.714	0.586	0.000355694997024167
HNRNPA1	2.77313309944371e-08	0.255840680447742	0.889	0.828	0.000368604851578057
SDC4	2.93417957144945e-08	-0.163738229135232	0.031	0.172	0.000390011148637061
PHB2	3.17281333863826e-08	0.254570889395814	0.477	0.266	0.000421730348971798
TMEM51	3.46069777568164e-08	-0.167525467484968	0.056	0.215	0.000459995948343603
RPL6	3.47504401907043e-08	0.188600943449991	1	1	0.000461902851014841
INHBA	3.61558981716518e-08	-0.797943163870977	0.063	0.219	0.000480584198497596
CD4	3.85469856532885e-08	0.265470850712795	0.533	0.312	0.00051236653330351
ENG	4.1068513942033e-08	-0.297103768999769	0.16	0.348	0.000545882687317502
SLC7A11	4.16027849123382e-08	-0.28028990875432	0.003	0.109	0.0005529842170548
SMCO4	4.32892096737239e-08	0.217381886541141	0.578	0.324	0.000575400174983139
GADD45B	4.33912559831895e-08	-0.435825815226644	0.672	0.816	0.000576756574528554
NUP214	4.54121119553557e-08	0.272079098752678	0.561	0.32	0.000603617792110588
TNS1	4.94287087956218e-08	-0.147420380064556	0.024	0.156	0.000657006397311405
TUFM	5.5767378153437e-08	0.237961642373908	0.47	0.25	0.000741259990415485
ATP5MG	5.97824530937131e-08	0.199010341364228	0.979	0.938	0.000794628366521635
MS4A14	6.39557102438374e-08	0.145423673825694	0.167	0.027	0.000850099300561086
RPS2	6.44305740018253e-08	0.180074689119244	0.997	0.992	0.000856411189632261
RPS6	6.51885425393595e-08	0.183030947352314	1	0.992	0.000866486107433167
SLC25A5	7.32494038276057e-08	0.228486601692633	0.854	0.734	0.000973631075676535
FPR3	8.13562036455094e-08	-0.24054666299024	0.087	0.258	0.00108138665885611
JAML	8.25471841253315e-08	0.227747653791132	0.599	0.352	0.00109721717139391
EHD1	8.5723721991225e-08	-0.391624056696293	0.265	0.449	0.00113943971270736
GLA	9.06437656338492e-08	0.315129526941102	0.425	0.207	0.00120483693280512
YME1L1	9.86245325551712e-08	0.252126347604038	0.488	0.27	0.00131091728672334
MX2	9.88925032751988e-08	0.373398435065078	0.502	0.281	0.00131447915353394
PYCARD	1.02620662764023e-07	0.195117287808128	0.889	0.828	0.00136403384945939
ACAA1	1.15096579803618e-07	0.232260065728379	0.443	0.227	0.00152986373874969
