	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CFP	1.58677848417616e-49	0.650773610339932	0.635	0.208	2.10914596116696e-45	Monocytes	CFP
EREG	2.46740590795946e-49	1.10045221559012	0.464	0.074	3.27967593285971e-45	Monocytes	EREG
H3F3A	3.80410370417956e-49	0.435994685110117	0.996	0.996	5.05641464359547e-45	Monocytes	H3F3A
C19orf38	7.49309219389464e-48	0.499645837479695	0.471	0.081	9.95981814412476e-44	Monocytes	C19orf38
SOD2	9.2397970227087e-48	0.757848184434083	0.937	0.794	1.22815382025844e-43	Monocytes	SOD2
CD55	6.29459202159227e-47	0.868752777889273	0.713	0.423	8.36677171510045e-43	Monocytes	CD55
IFITM2	2.003244782847e-46	1.21119845628893	0.901	0.743	2.66271296536024e-42	Monocytes	IFITM2
FOSL2	4.54054857198255e-46	0.542948623258878	0.558	0.153	6.03529716187921e-42	Monocytes	FOSL2
FLNA	6.54428646689413e-46	0.606838720705248	0.855	0.671	8.69866557179568e-42	Monocytes	FLNA
CDC42EP2	9.06598897094169e-46	0.467203176611241	0.387	0.037	1.20505125401757e-41	Monocytes	CDC42EP2
SLC25A37	4.05271651280268e-45	0.636999849831603	0.389	0.042	5.38687078881733e-41	Monocytes	SLC25A37
NR4A1	4.35147852428768e-45	0.639062776930953	0.895	0.765	5.78398525448318e-41	Monocytes	NR4A1
SMIM25	1.21594794223921e-44	0.793370497914908	0.685	0.349	1.61623800482436e-40	Monocytes	SMIM25
AGTRAP	5.0550157829624e-44	0.468731995132528	0.562	0.16	6.71912697871363e-40	Monocytes	AGTRAP
C5AR1	5.67598066575132e-44	0.689642359323072	0.755	0.507	7.54451350091666e-40	Monocytes	C5AR1
LYST	2.35086916419628e-42	0.497009653615445	0.462	0.096	3.12477529304969e-38	Monocytes	LYST
AQP9	3.71089360982063e-42	0.511957335360946	0.344	0.024	4.93251978617358e-38	Monocytes	AQP9
LILRB2	4.1153422854422e-40	0.626772749074415	0.768	0.559	5.47011296580977e-36	Monocytes	LILRB2
NFKBIA	5.67590101549905e-40	0.946057573819712	0.926	0.866	7.54440762980134e-36	Monocytes	NFKBIA
LST1	7.75588367717505e-40	0.818689822158636	0.93	0.849	1.03091205837011e-35	Monocytes	LST1
POU2F2	9.42299964375979e-40	0.551011755696347	0.503	0.145	1.25250511264855e-35	Monocytes	POU2F2
CDA	1.60590899975661e-39	0.379339686786838	0.313	0.017	2.13457424247649e-35	Monocytes	CDA
LILRA1	5.54914363696262e-39	0.358163932095952	0.355	0.04	7.37592172225072e-35	Monocytes	LILRA1
ADGRE2	1.82609865111978e-38	0.526209775795755	0.508	0.153	2.42725032706841e-34	Monocytes	ADGRE2
MCEMP1	6.75946195804757e-37	0.503599305450245	0.291	0.015	8.98467683463683e-33	Monocytes	MCEMP1
UBXN11	9.91907032202645e-37	0.328973191760265	0.381	0.062	1.31844282720376e-32	Monocytes	UBXN11
CHD1	6.43188379017271e-36	0.449702430290529	0.527	0.171	8.54925993389757e-32	Monocytes	CHD1
NLRP3	1.7152801227005e-35	0.541935932988111	0.405	0.088	2.2799503390935e-31	Monocytes	NLRP3
NUP214	1.86237593218928e-35	0.414106002912754	0.448	0.11	2.47547008906599e-31	Monocytes	NUP214
H3F3B	2.11283044545855e-35	0.392825144029857	1	0.982	2.80837422810351e-31	Monocytes	H3F3B
MIDN	3.52036088689248e-35	0.448620734818416	0.481	0.145	4.67926369085748e-31	Monocytes	MIDN
EHD1	7.16282524711278e-35	0.43776424251488	0.352	0.053	9.52082731846231e-31	Monocytes	EHD1
SLC43A2	7.85478940256085e-35	0.403432813347662	0.516	0.165	1.04405860738839e-30	Monocytes	SLC43A2
IRAK3	1.50722964142514e-34	0.377916576030671	0.359	0.059	2.0034096393823e-30	Monocytes	IRAK3
CTSS	3.16696650239756e-34	0.505497061209385	0.976	0.903	4.20953187498683e-30	Monocytes	CTSS
MYO1G	5.59517549525267e-34	0.403231709642536	0.464	0.129	7.43710726828985e-30	Monocytes	MYO1G
MTSS1	6.04307571427811e-34	0.393791315863449	0.357	0.057	8.03245623941846e-30	Monocytes	MTSS1
SH3BGRL3	9.859649872147e-34	0.379544626535379	1	0.991	1.31054466100578e-29	Monocytes	SH3BGRL3
RAB24	1.21650732244507e-33	0.38791591159433	0.499	0.158	1.61698153299399e-29	Monocytes	RAB24
NFKBIZ	1.71805642875897e-33	0.668965002118752	0.773	0.66	2.28364060510642e-29	Monocytes	NFKBIZ
PDE4B	2.22471619714145e-33	0.626541241155462	0.499	0.169	2.95709276924042e-29	Monocytes	PDE4B
PECAM1	2.54707191621338e-33	0.68762675307566	0.584	0.301	3.38556799103083e-29	Monocytes	PECAM1
LILRB3	3.15818786908133e-33	0.417714050944907	0.501	0.175	4.1978633155829e-29	Monocytes	LILRB3
SAMSN1	4.11386337831147e-33	0.552497270712293	0.667	0.39	5.46814720245161e-29	Monocytes	SAMSN1
MYO1F	8.39283065680245e-33	0.396732654319776	0.573	0.226	1.11557505090218e-28	Monocytes	MYO1F
LILRA2	8.56367115320821e-33	0.377163429938813	0.376	0.077	1.13828316968444e-28	Monocytes	LILRA2
MXD1	1.79674536586296e-32	0.455633243660687	0.436	0.116	2.38823394030504e-28	Monocytes	MXD1
TSPO	2.43730206304974e-32	0.429362561191576	0.932	0.842	3.23966190220572e-28	Monocytes	TSPO
CUX1	3.42030784659394e-32	0.617600443866532	0.444	0.134	4.54627318969266e-28	Monocytes	CUX1
RXRA	5.44190815905026e-32	0.353612485926137	0.365	0.072	7.2333843250096e-28	Monocytes	RXRA
KLF2	8.26547768485509e-32	0.458020127609188	0.483	0.151	1.09864729387094e-27	Monocytes	KLF2
EIF1	8.58974268728325e-32	0.341621982782879	1	0.996	1.14174859799369e-27	Monocytes	EIF1
AC005280.2	1.03895118998544e-31	0.336774884224334	0.267	0.018	1.38097392172864e-27	Monocytes	AC005280.2
HBEGF	1.95159242962808e-31	0.652522626964194	0.667	0.432	2.59405665746164e-27	Monocytes	HBEGF
UPP1	2.16079190068586e-31	0.494068733999959	0.475	0.158	2.87212459439165e-27	Monocytes	UPP1
RGS2	2.26685024060276e-31	0.666858495048979	0.794	0.711	3.01309733980919e-27	Monocytes	RGS2
VMP1	3.93324306256047e-31	0.482262985985598	0.538	0.217	5.22806667875537e-27	Monocytes	VMP1
MCL1	6.79085595940816e-31	0.452411622867917	0.88	0.824	9.02640574124533e-27	Monocytes	MCL1
ZEB2	1.17250161627315e-30	0.424911123605221	0.829	0.684	1.55848914835027e-26	Monocytes	ZEB2
HES4	1.18219689682664e-30	0.439053733344752	0.317	0.05	1.57137611526197e-26	Monocytes	HES4
DMXL2	1.82845725543606e-30	0.384482467686527	0.446	0.134	2.43038538392561e-26	Monocytes	DMXL2
SAT1	2.43919526387624e-30	0.425809865917408	1	0.982	3.2421783447443e-26	Monocytes	SAT1
CSF3R	2.97432779586093e-30	0.53173718379958	0.433	0.136	3.95347650625835e-26	Monocytes	CSF3R
CLEC12A	4.68679987076597e-30	0.385510375202751	0.365	0.081	6.22969438822213e-26	Monocytes	CLEC12A
C9orf72	6.45815412916048e-30	0.307749513133053	0.357	0.074	8.5841784684801e-26	Monocytes	C9orf72
GPCPD1	6.89233811720039e-30	0.392572739113104	0.464	0.151	9.16129582538275e-26	Monocytes	GPCPD1
LRRC25	7.1216564286555e-30	0.397821559912164	0.481	0.171	9.46610572496889e-26	Monocytes	LRRC25
NOTCH2	1.43726178963263e-29	0.34587493592492	0.401	0.107	1.91040837077969e-25	Monocytes	NOTCH2
VPS37B	1.61231561966843e-29	0.370201284826794	0.365	0.083	2.14308992166328e-25	Monocytes	VPS37B
G0S2	4.91367825691024e-29	1.38005828649211	0.632	0.478	6.53126113908509e-25	Monocytes	G0S2
IL1RN	5.83045089605537e-29	0.841564488023716	0.414	0.112	7.7498353310368e-25	Monocytes	IL1RN
ANPEP	1.25086904362865e-28	0.496136248736787	0.346	0.075	1.6626551327912e-24	Monocytes	ANPEP
CFD	1.71987435066352e-28	0.504516047600438	0.807	0.631	2.28605698690195e-24	Monocytes	CFD
ADGRE5	2.56481508736538e-28	0.441143721300665	0.501	0.191	3.40915221412607e-24	Monocytes	ADGRE5
ITGAX	2.8466883291772e-28	0.389557128906766	0.529	0.21	3.78381812714233e-24	Monocytes	ITGAX
PNRC1	3.34532520851935e-28	0.456265862225873	0.963	0.899	4.44660626716391e-24	Monocytes	PNRC1
FAM45A	3.58355204121491e-28	0.339734976209143	0.363	0.088	4.76325737318286e-24	Monocytes	FAM45A
TESC	4.02164254386806e-28	0.304343358979843	0.315	0.055	5.34556726930942e-24	Monocytes	TESC
PRAM1	4.71365949366284e-28	0.314009630924188	0.343	0.074	6.26539619897664e-24	Monocytes	PRAM1
TREM1	8.42268718401532e-28	0.352308359282723	0.331	0.068	1.11954358049932e-23	Monocytes	TREM1
RILPL2	1.70114405589101e-27	0.420335999021811	0.541	0.226	2.26116067909032e-23	Monocytes	RILPL2
MYD88	2.20533024050609e-27	0.38201185789109	0.494	0.193	2.93132495568069e-23	Monocytes	MYD88
SOCS3	2.37249078576393e-27	0.602820327799176	0.705	0.535	3.15351475243741e-23	Monocytes	SOCS3
HRH2	2.64599410979243e-27	0.357211089711256	0.39	0.114	3.5170553707361e-23	Monocytes	HRH2
BCL3	2.8238784478034e-27	0.417241241689301	0.477	0.176	3.75349923282028e-23	Monocytes	BCL3
FMNL1	3.97096439903426e-27	0.395941276379856	0.505	0.208	5.27820587919634e-23	Monocytes	FMNL1
LILRB1	8.81859353688035e-27	0.443774714811563	0.479	0.178	1.17216745292214e-22	Monocytes	LILRB1
ICAM3	9.85517775663883e-27	0.368828329989012	0.379	0.103	1.30995022741243e-22	Monocytes	ICAM3
SMCHD1	1.18317681320717e-26	0.340325361852073	0.405	0.119	1.57267862011497e-22	Monocytes	SMCHD1
COTL1	1.40912726465514e-26	0.363592757378686	0.978	0.95	1.87301196017961e-22	Monocytes	COTL1
ITGAL	1.55960710900748e-26	0.30785549091597	0.308	0.061	2.07302976929275e-22	Monocytes	ITGAL
CARD16	2.18854541778339e-26	0.450411204215647	0.772	0.638	2.90901456931768e-22	Monocytes	CARD16
LTA4H	2.32644228399924e-26	0.407762177895275	0.494	0.188	3.09230708389179e-22	Monocytes	LTA4H
RBKS	2.37405459933652e-26	0.556424679593592	0.589	0.327	3.15559337343811e-22	Monocytes	RBKS
TNFSF10	2.45635552895117e-26	0.448185937977294	0.416	0.134	3.2649877690819e-22	Monocytes	TNFSF10
CYTIP	3.20410673864373e-26	0.454976755955847	0.464	0.173	4.25889867700525e-22	Monocytes	CYTIP
KDM6B	3.73332188383508e-26	0.492311339696225	0.702	0.524	4.96233144799359e-22	Monocytes	KDM6B
RIPOR2	3.75134267472798e-26	0.326788191460408	0.302	0.057	4.98628468324844e-22	Monocytes	RIPOR2
ZNF703	3.88387734654158e-26	0.332469393206357	0.256	0.033	5.16244976902307e-22	Monocytes	ZNF703
DUSP2	5.56002652126149e-26	0.62899659724667	0.82	0.733	7.39038725206077e-22	Monocytes	DUSP2
AMPD2	6.05604688599173e-26	0.294133200166592	0.333	0.077	8.0496975208602e-22	Monocytes	AMPD2
TCIRG1	6.72888744396013e-26	0.367000734564299	0.53	0.224	8.9440371905118e-22	Monocytes	TCIRG1
EVI2B	9.88186498304676e-26	0.437630364745084	0.521	0.228	1.31349749354658e-21	Monocytes	EVI2B
PFDN5	1.94980429637352e-25	0.285438002173579	0.993	0.987	2.59167987073969e-21	Monocytes	PFDN5
STK10	2.79012477501012e-25	0.323545693426919	0.37	0.107	3.70863385094346e-21	Monocytes	STK10
VSIR	4.28340818441894e-25	0.474187644589188	0.729	0.596	5.69350615872965e-21	Monocytes	VSIR
CDC42EP3	4.59251527966192e-25	0.35111047668653	0.352	0.096	6.10437130972663e-21	Monocytes	CDC42EP3
PAPSS2	7.28409275298832e-25	0.635487628851976	0.459	0.171	9.68201608727208e-21	Monocytes	PAPSS2
TKT	9.73918378614251e-25	0.48242566549828	0.786	0.733	1.29453230885406e-20	Monocytes	TKT
BACH1	1.01124165358975e-24	0.347849776044316	0.416	0.147	1.3441424059515e-20	Monocytes	BACH1
RARA	1.08280601336755e-24	0.278539582705179	0.357	0.096	1.43926575296815e-20	Monocytes	RARA
ZFP36	1.13374323607721e-24	0.436025815777566	0.969	0.921	1.50697150939383e-20	Monocytes	ZFP36
SERP1	1.24241579522765e-24	0.344102567677925	0.947	0.915	1.65141907501659e-20	Monocytes	SERP1
CD52	1.27398499217472e-24	0.687201778259303	0.748	0.623	1.69338085159864e-20	Monocytes	CD52
CSRNP1	2.19868563107109e-24	0.369458892540057	0.501	0.204	2.9224929408197e-20	Monocytes	CSRNP1
CD37	3.38014593335407e-24	0.519722742997996	0.832	0.748	4.49288997461423e-20	Monocytes	CD37
EHBP1L1	4.85588591765681e-24	0.302532236109803	0.385	0.119	6.45444356174943e-20	Monocytes	EHBP1L1
FCER1G	5.47606618569376e-24	0.329093211992391	0.994	0.963	7.27878717402414e-20	Monocytes	FCER1G
AC015912.3	6.96799297549081e-24	0.380790513486737	0.295	0.064	9.26185626302239e-20	Monocytes	AC015912.3
TYMP	6.97853666749822e-24	0.369564707047324	0.95	0.873	9.27587093843863e-20	Monocytes	TYMP
SH3BP2	1.04638786851372e-23	0.315737841504681	0.405	0.142	1.39085875482844e-19	Monocytes	SH3BP2
DDX60L	1.11247151208687e-23	0.303363050785659	0.273	0.051	1.47869713386587e-19	Monocytes	DDX60L
CASP4	1.13519335457311e-23	0.316310868681205	0.484	0.197	1.50889900689857e-19	Monocytes	CASP4
PLP2	1.29385924237651e-23	0.309773249202421	0.449	0.162	1.71979770496685e-19	Monocytes	PLP2
SMAP2	1.35830787913625e-23	0.322521268212834	0.468	0.188	1.80546283294791e-19	Monocytes	SMAP2
FOSB	1.41667695772673e-23	0.499052909510787	0.829	0.772	1.88304701221037e-19	Monocytes	FOSB
STX11	2.06872377053354e-23	0.341015710994248	0.449	0.175	2.74974763579318e-19	Monocytes	STX11
GABARAPL1	2.87452639022176e-23	0.314509314684925	0.407	0.14	3.82082047788276e-19	Monocytes	GABARAPL1
CD93	6.62978510497127e-23	0.358826834675468	0.365	0.112	8.81231036152781e-19	Monocytes	CD93
VEGFA	7.32501493004499e-23	0.384104641859736	0.311	0.077	9.7364098450158e-19	Monocytes	VEGFA
PTGS2	1.03048840536178e-22	0.61583188005684	0.328	0.09	1.36972518840688e-18	Monocytes	PTGS2
PLXNB2	2.51494398316496e-22	0.272002708352824	0.355	0.108	3.34286354242286e-18	Monocytes	PLXNB2
DDX3X	3.13183316355932e-22	0.366411995076332	0.582	0.335	4.16283264100305e-18	Monocytes	DDX3X
LRRFIP1	4.69087385631616e-22	0.350828795989855	0.853	0.824	6.23510952981543e-18	Monocytes	LRRFIP1
LPCAT1	4.9849876857067e-22	0.281839503201772	0.298	0.075	6.62604563184135e-18	Monocytes	LPCAT1
NLRP1	5.29519076393798e-22	0.252184328936144	0.262	0.051	7.03836756342636e-18	Monocytes	NLRP1
PTPRC	7.99353245976828e-22	0.359315715430497	0.842	0.814	1.0625003345524e-17	Monocytes	PTPRC
ATP1B3	8.25791837487017e-22	0.465708567600227	0.711	0.575	1.09764251038774e-17	Monocytes	ATP1B3
RNF149	8.362131258707e-22	0.387994090117084	0.729	0.608	1.11149448690733e-17	Monocytes	RNF149
ACSL1	1.09760984314902e-21	0.392037562899383	0.315	0.086	1.45894300351368e-17	Monocytes	ACSL1
SSH2	1.5281702294297e-21	0.256313328377135	0.306	0.079	2.03124386895796e-17	Monocytes	SSH2
MX2	2.06277258179088e-21	0.400902649210722	0.398	0.147	2.74183731571644e-17	Monocytes	MX2
CD48	3.18473651386133e-21	0.362756658769103	0.7	0.504	4.23315177422448e-17	Monocytes	CD48
IER3	4.94672734621191e-21	0.59692943230652	0.796	0.746	6.57518998858487e-17	Monocytes	IER3
CORO1A	5.24004308965096e-21	0.336848704030221	0.864	0.781	6.96506527476405e-17	Monocytes	CORO1A
NBPF14	5.24114093111385e-21	0.331722353864165	0.438	0.178	6.96652452563653e-17	Monocytes	NBPF14
OSM	5.91121689426032e-21	0.474387624412518	0.35	0.112	7.85718949585081e-17	Monocytes	OSM
GCH1	8.21887176501661e-21	0.258885029911898	0.265	0.059	1.09245243500601e-16	Monocytes	GCH1
PLEC	8.25562899104356e-21	0.329156345298387	0.403	0.156	1.09733820548951e-16	Monocytes	PLEC
NFE2L2	8.75682581763847e-21	0.342971391851242	0.821	0.726	1.16395728768051e-16	Monocytes	NFE2L2
MT-ND2	9.8943003606784e-21	0.284178595178093	0.998	0.974	1.31515040394137e-16	Monocytes	MT-ND2
CSTA	1.41455133217459e-20	0.395617538952983	0.634	0.404	1.88022163072647e-16	Monocytes	CSTA
RIPK2	1.5231169378311e-20	0.276527132517421	0.355	0.118	2.0245270337651e-16	Monocytes	RIPK2
GRK2	1.78673498751532e-20	0.296079399919947	0.39	0.147	2.37492814540537e-16	Monocytes	GRK2
JUND	2.49846040997757e-20	0.363155250417242	0.654	0.449	3.32095357694218e-16	Monocytes	JUND
CEBPB	6.38091958324961e-20	0.422486262160421	0.676	0.487	8.48151831005539e-16	Monocytes	CEBPB
ETS2	6.69456452964184e-20	0.414473524508784	0.4	0.16	8.89841517279993e-16	Monocytes	ETS2
TSC22D3	8.43338853095346e-20	0.408157186764738	0.471	0.215	1.12096600353433e-15	Monocytes	TSC22D3
PFKFB3	9.09722364420989e-20	0.356522074922643	0.355	0.129	1.20920296678838e-15	Monocytes	PFKFB3
MIR22HG	9.82125767517765e-20	0.261838570625371	0.274	0.07	1.30544157018461e-15	Monocytes	MIR22HG
YPEL3	1.07869228098094e-19	0.279050699506493	0.368	0.131	1.43379777987987e-15	Monocytes	YPEL3
MAP2K3	2.20322218295122e-19	0.271589659913126	0.352	0.121	2.92852292557876e-15	Monocytes	MAP2K3
TET2	2.46165508080686e-19	0.261212416532676	0.333	0.108	3.27203193340848e-15	Monocytes	TET2
DOCK8	2.46361549874417e-19	0.298314751321766	0.484	0.228	3.27463772093075e-15	Monocytes	DOCK8
IVNS1ABP	2.98128749847914e-19	0.425187864526943	0.429	0.189	3.96272734297848e-15	Monocytes	IVNS1ABP
SLC2A3	3.02824011225602e-19	0.586812236765187	0.68	0.577	4.0251367572107e-15	Monocytes	SLC2A3
LYN	3.33657497038491e-19	0.386806513481831	0.75	0.642	4.43497545063563e-15	Monocytes	LYN
PILRA	3.50503021027202e-19	0.404634806474293	0.711	0.564	4.65888615549357e-15	Monocytes	PILRA
SLC7A7	3.96291395633638e-19	0.296692723786431	0.525	0.254	5.26750523076232e-15	Monocytes	SLC7A7
NBPF26	4.26170544415888e-19	0.405330700726454	0.613	0.417	5.66465887637599e-15	Monocytes	NBPF26
FOS	5.20493135053159e-19	0.357542300858101	0.969	0.915	6.91839475112659e-15	Monocytes	FOS
LRP1	5.41709500841724e-19	0.302919925288181	0.51	0.241	7.2004026851882e-15	Monocytes	LRP1
STAT3	7.1565541404902e-19	0.33024398889371	0.569	0.333	9.51249176353957e-15	Monocytes	STAT3
THAP2	7.23457801398179e-19	0.303904823847195	0.287	0.083	9.6162010961846e-15	Monocytes	THAP2
SELPLG	7.57707786307304e-19	0.282270335978468	0.396	0.154	1.00714518955967e-14	Monocytes	SELPLG
NABP1	8.36742118390984e-19	0.333474224740752	0.455	0.215	1.1121976237653e-14	Monocytes	NABP1
PPP1R15A	8.64181644091618e-19	0.408637480263951	0.838	0.796	1.14867024132658e-14	Monocytes	PPP1R15A
NR4A2	9.42897677445901e-19	0.367497818297259	0.856	0.803	1.25329959286109e-14	Monocytes	NR4A2
PPP1CB	1.5521562448087e-18	0.312278101226891	0.451	0.211	2.06312608059972e-14	Monocytes	PPP1CB
NUMB	1.67873850650407e-18	0.270103913516687	0.363	0.138	2.23137922284521e-14	Monocytes	NUMB
PPIF	4.46598836777133e-18	0.556746540723532	0.514	0.309	5.93619173844165e-14	Monocytes	PPIF
DDX5	5.56934198254821e-18	0.289953685113279	0.943	0.91	7.40276936320309e-14	Monocytes	DDX5
IFITM3	6.45580606371447e-18	0.559044063563351	0.934	0.851	8.58105741988927e-14	Monocytes	IFITM3
PIM3	1.16675212435762e-17	0.344277878477217	0.44	0.202	1.55084692369614e-13	Monocytes	PIM3
DUSP6	1.22237225908772e-17	0.305764911976725	0.379	0.147	1.6247772067794e-13	Monocytes	DUSP6
EMILIN2	1.42060149184796e-17	0.269388236177086	0.477	0.232	1.88826350296431e-13	Monocytes	EMILIN2
RASSF5	1.81038896389156e-17	0.269597413421442	0.411	0.176	2.40636901080467e-13	Monocytes	RASSF5
OTUD1	2.25290162757435e-17	0.317093655309871	0.311	0.107	2.99455684337182e-13	Monocytes	OTUD1
CASP1	2.40558337931208e-17	0.312395416016302	0.549	0.311	3.19750142778162e-13	Monocytes	CASP1
NAAA	3.42264410996855e-17	0.282572701080582	0.42	0.188	4.54937855097019e-13	Monocytes	NAAA
MT2A	4.27648513418981e-17	0.458833043654218	0.825	0.678	5.68430404036509e-13	Monocytes	MT2A
PRELID1	4.59746801717045e-17	0.277460838618722	0.867	0.792	6.11095448842297e-13	Monocytes	PRELID1
IER2	4.66442623939937e-17	0.315895284628678	0.856	0.814	6.19995535740964e-13	Monocytes	IER2
IFI30	7.16880953281385e-17	0.258295505337625	0.941	0.875	9.52878163101616e-13	Monocytes	IFI30
SYAP1	1.17430288413181e-16	0.307367359693799	0.433	0.204	1.560883393588e-12	Monocytes	SYAP1
MBOAT7	1.4109738827163e-16	0.262618148233863	0.328	0.125	1.87546648490651e-12	Monocytes	MBOAT7
ARHGEF1	2.79602615056667e-16	0.251008431632637	0.319	0.118	3.71647795933322e-12	Monocytes	ARHGEF1
SEPT9	2.82780731720232e-16	0.261768136591617	0.545	0.307	3.75872148602533e-12	Monocytes	SEPT9
HCK	3.52182925026547e-16	0.303157574616747	0.773	0.711	4.68121543945286e-12	Monocytes	HCK
SNX10	3.76710223155936e-16	0.251403041270178	0.484	0.248	5.0072322861887e-12	Monocytes	SNX10
PTPRE	6.6107101656844e-16	0.311329076239869	0.777	0.71	8.7869559522277e-12	Monocytes	PTPRE
NCF2	6.71039385106739e-16	0.288823431409648	0.74	0.588	8.91945550683877e-12	Monocytes	NCF2
ATP2B1	8.51239823741052e-16	0.287418949177009	0.413	0.193	1.13146797371661e-11	Monocytes	ATP2B1
ATP13A3	1.0831066060076e-15	0.342873174870783	0.3	0.112	1.4396653007053e-11	Monocytes	ATP13A3
MTPN	1.22690905297103e-15	0.259722954753222	0.578	0.36	1.63080751320909e-11	Monocytes	MTPN
BEST1	1.85128795073441e-15	0.263743468045711	0.317	0.116	2.46073194411618e-11	Monocytes	BEST1
RHOB	2.13222234632795e-15	0.480750096983946	0.613	0.493	2.83414994273911e-11	Monocytes	RHOB
BIN2	2.25759082100116e-15	0.258109766730867	0.361	0.154	3.00078971927474e-11	Monocytes	BIN2
SPN	3.58539231808577e-15	0.255363080562469	0.262	0.085	4.7657034691996e-11	Monocytes	SPN
TNFAIP2	4.16230215417604e-15	0.403627208155583	0.569	0.404	5.5325320233308e-11	Monocytes	TNFAIP2
ARL4A	4.33804254072297e-15	0.273773642405649	0.361	0.154	5.76612614512897e-11	Monocytes	ARL4A
OXSR1	7.26418043378401e-15	0.251796351259703	0.343	0.142	9.65554863258571e-11	Monocytes	OXSR1
SERPINB9	8.25945059708974e-15	0.305491053077281	0.39	0.184	1.09784617336517e-10	Monocytes	SERPINB9
OLR1	8.48668502143111e-15	0.349225772269935	0.355	0.156	1.12805017304862e-10	Monocytes	OLR1
SRA1	1.2901628793686e-14	0.256399674469596	0.471	0.25	1.71488449925674e-10	Monocytes	SRA1
DDIT4	1.53072894316751e-14	0.283107609196124	0.385	0.176	2.03464491125825e-10	Monocytes	DDIT4
ATP1A1	1.83044590959753e-14	0.275479642250749	0.46	0.248	2.43302870303703e-10	Monocytes	ATP1A1
AP1S2	3.90011759723821e-14	0.31739089838258	0.696	0.594	5.18403631024903e-10	Monocytes	AP1S2
TNFAIP3	1.02581416072182e-13	0.82224888709288	0.628	0.586	1.36351218243144e-09	Monocytes	TNFAIP3
WTAP	1.33863838082411e-13	0.25807716666613	0.431	0.226	1.77931813579141e-09	Monocytes	WTAP
