	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
BTG1	4.81164304584283e-184	0.513967057710963	0.983	0.83	8.51131538379138e-180	Regulatory T cells	BTG1
CCR7	5.30464845842715e-182	0.399482495562204	0.314	0.063	9.38339265811178e-178	Regulatory T cells	CCR7
EML4	3.74720368392281e-176	0.425026133093146	0.674	0.325	6.62842859649106e-172	Regulatory T cells	EML4
TCF7	3.37127791643093e-175	0.331031488832228	0.295	0.057	5.96345350637467e-171	Regulatory T cells	TCF7
DUSP16	1.39559706979558e-168	0.261783851760439	0.277	0.051	2.4686716567614e-164	Regulatory T cells	DUSP16
SLAMF1	2.74339062535376e-167	0.3002195199284	0.331	0.078	4.85278367718826e-163	Regulatory T cells	SLAMF1
PBX4	3.31908593196202e-166	0.265643523151335	0.293	0.059	5.87113110504761e-162	Regulatory T cells	PBX4
ITK	6.89558958282322e-161	0.342873057373075	0.456	0.156	1.2197608413056e-156	Regulatory T cells	ITK
CD4	8.17555624147041e-160	0.288942625844781	0.364	0.097	1.4461741435537e-155	Regulatory T cells	CD4
DGKA	1.35687969572109e-158	0.289726547699178	0.361	0.1	2.40018449376103e-154	Regulatory T cells	DGKA
FXYD5	4.53285749793472e-156	0.456814067855108	0.893	0.701	8.01817162809673e-152	Regulatory T cells	FXYD5
PIK3IP1	1.00500119957648e-153	0.320083066674486	0.402	0.127	1.77774662193084e-149	Regulatory T cells	PIK3IP1
TMEM173	1.55637933520474e-153	0.313805906839942	0.366	0.106	2.75307940604367e-149	Regulatory T cells	TMEM173
FYB1	2.89256876184408e-153	0.436944076587766	0.815	0.471	5.116664882826e-149	Regulatory T cells	FYB1
OCIAD2	5.82281855077232e-151	0.339217650271027	0.538	0.228	1.02999837344612e-146	Regulatory T cells	OCIAD2
TRAC	1.87678650271314e-149	0.345468044191609	0.567	0.237	3.31984764464927e-145	Regulatory T cells	TRAC
JUNB	5.95664201107452e-148	0.592594855532551	0.952	0.807	1.05367040533897e-143	Regulatory T cells	JUNB
GPR183	1.54721173669533e-147	0.364591448668294	0.456	0.163	2.73686284104036e-143	Regulatory T cells	GPR183
TNFRSF18	2.50963071940547e-147	0.467696155549153	0.291	0.068	4.43928577955634e-143	Regulatory T cells	TNFRSF18
OXNAD1	2.29339436270985e-142	0.280985429085282	0.392	0.127	4.05678528819746e-138	Regulatory T cells	OXNAD1
ARID5B	6.64740958486014e-141	0.440663874270258	0.494	0.213	1.17586028146591e-136	Regulatory T cells	ARID5B
LDHB	7.01818258119566e-141	0.419645964345182	0.724	0.434	1.2414463167877e-136	Regulatory T cells	LDHB
EEF1A1	3.28622294941436e-134	0.353102163973889	1	0.998	5.81299977521905e-130	Regulatory T cells	EEF1A1
ACAP1	1.84757562785811e-132	0.322157596732363	0.645	0.325	3.26817652811821e-128	Regulatory T cells	ACAP1
STK17B	6.24077689791375e-130	0.401824557393791	0.731	0.435	1.10393102547196e-125	Regulatory T cells	STK17B
CD82	2.21213448192387e-129	0.319098802883934	0.445	0.168	3.91304468507513e-125	Regulatory T cells	CD82
SEPT6	1.69376420796031e-128	0.354776915298864	0.666	0.36	2.996099507461e-124	Regulatory T cells	SEPT6
RPLP1	1.81087088318124e-127	0.345771743524358	0.999	1	3.20324950525929e-123	Regulatory T cells	RPLP1
TTC39C	3.70353945062091e-127	0.329887739517188	0.411	0.156	6.55119093420332e-123	Regulatory T cells	TTC39C
SOCS1	5.97289741186219e-127	0.382748950603321	0.524	0.236	1.0565458231843e-122	Regulatory T cells	SOCS1
NR3C1	1.92214577864001e-125	0.454905520087594	0.611	0.336	3.40008366783632e-121	Regulatory T cells	NR3C1
CD7	5.29576492434902e-125	0.278762157337456	0.797	0.419	9.36767857468099e-121	Regulatory T cells	CD7
SYNE2	5.79428151173643e-124	0.347562357019834	0.589	0.287	1.02495045661106e-119	Regulatory T cells	SYNE2
JAK3	1.193100350198e-123	0.288923756429026	0.417	0.159	2.11047520946525e-119	Regulatory T cells	JAK3
STAT3	1.67966928801048e-123	0.360938901959773	0.659	0.365	2.97116700356174e-119	Regulatory T cells	STAT3
ANKRD12	1.29942335616813e-122	0.356277680879286	0.711	0.426	2.29854997472581e-118	Regulatory T cells	ANKRD12
DUSP4	1.31870349159084e-122	0.526755559269072	0.399	0.148	2.33265460627504e-118	Regulatory T cells	DUSP4
RPL13	7.79313217870862e-121	0.336730203750596	0.999	0.997	1.37852715109177e-116	Regulatory T cells	RPL13
PABPC1	2.92479978488333e-120	0.43215866222802	0.961	0.868	5.17367833948012e-116	Regulatory T cells	PABPC1
RGS1	1.74277648981138e-119	0.544161108681097	0.659	0.359	3.08279733282735e-115	Regulatory T cells	RGS1
CLEC2D	1.79654653418944e-117	0.282053265009059	0.468	0.196	3.17791116432771e-113	Regulatory T cells	CLEC2D
SEPT1	8.1500539337854e-117	0.30564175045271	0.65	0.342	1.4416630403473e-112	Regulatory T cells	SEPT1
SIT1	2.14978336467694e-116	0.27555276267606	0.404	0.152	3.80275179377704e-112	Regulatory T cells	SIT1
RPS3A	2.72488343493687e-116	0.34495787589089	0.996	0.988	4.82004630805984e-112	Regulatory T cells	RPS3A
TNIK	9.92576240670162e-115	0.255596431472772	0.346	0.118	1.75576811212145e-110	Regulatory T cells	TNIK
HLA-A	3.09837068076602e-114	0.372066668208576	0.997	0.934	5.48070789720701e-110	Regulatory T cells	HLA-A
CREM	3.32201151243046e-114	0.412846269460717	0.63	0.347	5.87630616433824e-110	Regulatory T cells	CREM
PIM2	2.72230349267675e-113	0.345633669665381	0.461	0.201	4.81548264819591e-109	Regulatory T cells	PIM2
DDIT4	7.45844046623934e-112	0.476757371102788	0.721	0.448	1.31932353407308e-107	Regulatory T cells	DDIT4
CDKN1B	1.3115801693255e-110	0.327997667517597	0.55	0.279	2.32005416151988e-106	Regulatory T cells	CDKN1B
TSC22D3	1.43460799468475e-109	0.469858029818006	0.796	0.555	2.53767808179786e-105	Regulatory T cells	TSC22D3
PPP1R2	1.53738278409809e-109	0.334377365203163	0.607	0.336	2.71947640679111e-105	Regulatory T cells	PPP1R2
AAK1	9.23244964942089e-109	0.294869055816876	0.562	0.288	1.63312801848606e-104	Regulatory T cells	AAK1
G3BP2	1.28897394439323e-108	0.340199383741309	0.579	0.306	2.28006601023718e-104	Regulatory T cells	G3BP2
MAF	9.46498364744267e-107	0.273904059739448	0.323	0.11	1.67426095739613e-102	Regulatory T cells	MAF
CORO1B	3.00215987783405e-106	0.400209307637422	0.439	0.202	5.31052060790065e-102	Regulatory T cells	CORO1B
RPL32	3.73842765045018e-106	0.315150615946949	0.999	0.995	6.61290467088133e-102	Regulatory T cells	RPL32
GATA3	5.40458885371733e-105	0.29272643782387	0.382	0.148	9.56017722334058e-101	Regulatory T cells	GATA3
SLC2A3	8.26549610066255e-105	0.399274064947095	0.731	0.453	1.4620836052462e-100	Regulatory T cells	SLC2A3
DNPH1	4.07888847529323e-104	0.328165242332453	0.434	0.193	7.2151458239462e-100	Regulatory T cells	DNPH1
RHOH	1.53326883456963e-103	0.313290149511071	0.595	0.317	2.71219924147021e-99	Regulatory T cells	RHOH
RPL11	1.43736670093713e-102	0.283448441594052	0.998	0.993	2.54255795728769e-98	Regulatory T cells	RPL11
GSTK1	1.05804341295039e-101	0.313022852862485	0.725	0.458	1.87157299316795e-97	Regulatory T cells	GSTK1
GPRIN3	2.45276132439723e-101	0.273689104385404	0.438	0.193	4.33868950672625e-97	Regulatory T cells	GPRIN3
HSPA8	3.15475459171167e-101	0.392983769239102	0.974	0.873	5.58044539727878e-97	Regulatory T cells	HSPA8
RPS12	9.90952804944379e-101	0.337779005589596	0.998	0.995	1.75289641666611e-96	Regulatory T cells	RPS12
ETS1	1.63155629989374e-100	0.282228024762045	0.574	0.298	2.88605993888203e-96	Regulatory T cells	ETS1
PDE4B	7.4696703202828e-100	0.337049309055044	0.579	0.308	1.32130998295483e-95	Regulatory T cells	PDE4B
AC016831.7	1.65624343192536e-98	0.324120067593393	0.521	0.263	2.92972900673277e-94	Regulatory T cells	AC016831.7
SH2D2A	6.51376423730248e-98	0.305393422563005	0.551	0.281	1.15221975593643e-93	Regulatory T cells	SH2D2A
RPL36	1.05313520836158e-97	0.278660375387838	0.995	0.987	1.86289087007079e-93	Regulatory T cells	RPL36
MALAT1	1.56532782801598e-96	0.342687563683463	0.999	0.953	2.76890839497747e-92	Regulatory T cells	MALAT1
CYTIP	8.85532756486892e-96	0.314461544129191	0.677	0.411	1.56641889294966e-91	Regulatory T cells	CYTIP
TRBC2	1.17814691139459e-95	0.349297029375359	0.679	0.392	2.08402407156589e-91	Regulatory T cells	TRBC2
ITM2A	1.51653274253906e-95	0.300599516185459	0.511	0.25	2.68259476827734e-91	Regulatory T cells	ITM2A
EVL	5.92076774922023e-95	0.291252437881031	0.764	0.471	1.04732460715957e-90	Regulatory T cells	EVL
TPT1	5.35125070901007e-94	0.303557225505235	0.998	0.996	9.46582737916791e-90	Regulatory T cells	TPT1
SKAP1	3.38215823451346e-92	0.257995641829647	0.539	0.274	5.98269970103086e-88	Regulatory T cells	SKAP1
B2M	2.57791888070997e-91	0.254521345596933	1	0.999	4.56008070808786e-87	Regulatory T cells	B2M
TMEM123	2.01146891017432e-90	0.267742110434616	0.436	0.209	3.55808735520736e-86	Regulatory T cells	TMEM123
EPC1	1.9102429007225e-89	0.26617860238727	0.598	0.344	3.37902866708804e-85	Regulatory T cells	EPC1
RPL30	5.18519105577143e-89	0.277404400618812	0.999	0.993	9.17208445855408e-85	Regulatory T cells	RPL30
ARHGDIB	3.36664201069452e-88	0.309525411503495	0.953	0.819	5.95525305271753e-84	Regulatory T cells	ARHGDIB
SOCS3	5.1077327270514e-88	0.258406375071915	0.471	0.227	9.03506842088122e-84	Regulatory T cells	SOCS3
DDX5	5.79913174260711e-87	0.320990956261322	0.942	0.828	1.02580841394977e-82	Regulatory T cells	DDX5
SF1	1.60524319741743e-86	0.297427875043408	0.682	0.441	2.83951469191169e-82	Regulatory T cells	SF1
RPS25	1.7329245601958e-84	0.277386496900674	0.992	0.983	3.06537025453036e-80	Regulatory T cells	RPS25
SOD1	5.58028935647732e-84	0.308353401269466	0.743	0.51	9.87097384267273e-80	Regulatory T cells	SOD1
SRSF7	8.18849825239228e-83	0.289016362677742	0.817	0.586	1.44846345586567e-78	Regulatory T cells	SRSF7
S100A4	2.05454295264784e-82	0.36189837431139	0.88	0.667	3.63428102893876e-78	Regulatory T cells	S100A4
LCP2	4.63535833856988e-82	0.277528477140183	0.664	0.407	8.19948536509627e-78	Regulatory T cells	LCP2
PTPRC	4.92009691452655e-82	0.326181247321118	0.925	0.713	8.70315943210601e-78	Regulatory T cells	PTPRC
CD69	1.88057929375636e-81	0.4364093157323	0.788	0.553	3.32655671272562e-77	Regulatory T cells	CD69
RPL34	1.97908480132116e-81	0.271694486921162	0.998	0.993	3.500803105057e-77	Regulatory T cells	RPL34
IFITM1	2.20661374116854e-81	0.264530699023081	0.908	0.681	3.90327904675303e-77	Regulatory T cells	IFITM1
RPS27A	2.77700674524194e-78	0.250080077840016	0.999	0.993	4.91224723165847e-74	Regulatory T cells	RPS27A
SELL	3.94875002329947e-78	0.283887097677447	0.304	0.12	6.98494391621443e-74	Regulatory T cells	SELL
PHLDA1	9.70531251985255e-78	0.331883086729505	0.374	0.17	1.71677273163672e-73	Regulatory T cells	PHLDA1
C12orf57	1.85462583709674e-77	0.279455265098292	0.758	0.529	3.28064764324043e-73	Regulatory T cells	C12orf57
KLF6	4.45538138490997e-77	0.427966472867018	0.833	0.67	7.88112413176724e-73	Regulatory T cells	KLF6
DNAJB1	1.21128815376983e-74	0.415979912166553	0.821	0.622	2.14264761520346e-70	Regulatory T cells	DNAJB1
KIAA1551	2.79482555053525e-74	0.278157776627693	0.528	0.303	4.9437669163418e-70	Regulatory T cells	KIAA1551
EZR	5.38040460978636e-74	0.26520196101548	0.664	0.421	9.51739771425109e-70	Regulatory T cells	EZR
HINT1	1.14587771090654e-72	0.280244174669342	0.877	0.75	2.02694308282259e-68	Regulatory T cells	HINT1
RPSA	1.81609629112617e-72	0.265034986411561	0.976	0.931	3.21249272937308e-68	Regulatory T cells	RPSA
NDFIP1	2.27440010163551e-72	0.252850208405558	0.497	0.287	4.02318633978305e-68	Regulatory T cells	NDFIP1
PDE4D	1.4895000462541e-71	0.259324481575535	0.37	0.176	2.63477663181887e-67	Regulatory T cells	PDE4D
GBP5	1.47517029932987e-70	0.303395982007368	0.431	0.226	2.60942874248461e-66	Regulatory T cells	GBP5
ZFP36L2	7.61422158739785e-70	0.39461721928502	0.857	0.711	1.34687965659481e-65	Regulatory T cells	ZFP36L2
YPEL5	8.59817540736259e-70	0.27742508992309	0.626	0.406	1.52093124780837e-65	Regulatory T cells	YPEL5
KLRB1	9.29626362761165e-70	0.307408198155344	0.471	0.236	1.64441607308822e-65	Regulatory T cells	KLRB1
CD27	1.17821454783457e-69	0.252712653167667	0.443	0.225	2.08414371366456e-65	Regulatory T cells	CD27
RPS6	1.45899477159885e-69	0.273747526735041	0.993	0.981	2.58081585148121e-65	Regulatory T cells	RPS6
RPS18	2.87490029420941e-69	0.274537354821457	0.998	0.992	5.08541113042703e-65	Regulatory T cells	RPS18
RPS27	8.19067746206118e-69	0.253034978769753	0.998	0.994	1.448848936264e-64	Regulatory T cells	RPS27
RGCC	1.07245855267917e-68	0.316213652866017	0.54	0.31	1.89707193383418e-64	Regulatory T cells	RGCC
MBNL1	1.31450382197416e-68	0.253904076707849	0.718	0.49	2.32522581069009e-64	Regulatory T cells	MBNL1
PDCD4	5.3047934687468e-68	0.251879309623583	0.553	0.328	9.38364916686622e-64	Regulatory T cells	PDCD4
CXCR4	2.7633523428724e-67	0.308530361941246	0.721	0.484	4.88809395930699e-63	Regulatory T cells	CXCR4
LBH	2.90961115064302e-67	0.256673934120562	0.583	0.349	5.14681116437243e-63	Regulatory T cells	LBH
YWHAB	2.92844316133833e-67	0.293969235032416	0.854	0.709	5.18012310809138e-63	Regulatory T cells	YWHAB
FUS	1.3823630835347e-66	0.262682652544081	0.749	0.529	2.44526205846453e-62	Regulatory T cells	FUS
ARL6IP5	9.88916743210843e-65	0.255791393998456	0.673	0.459	1.74929482706566e-60	Regulatory T cells	ARL6IP5
SAMSN1	1.24605595080274e-64	0.265252002152248	0.603	0.372	2.20414837137496e-60	Regulatory T cells	SAMSN1
RPL3	6.5256766528507e-64	0.25032517647672	0.997	0.987	1.15432694312276e-59	Regulatory T cells	RPL3
RPS4Y1	6.80711238154033e-62	0.330572529616198	0.53	0.332	1.20411010917067e-57	Regulatory T cells	RPS4Y1
PTGER4	1.96873581889398e-59	0.259330056788728	0.441	0.252	3.48249679004156e-55	Regulatory T cells	PTGER4
GIMAP7	9.78364781884114e-58	0.257760181030403	0.459	0.266	1.73062946267481e-53	Regulatory T cells	GIMAP7
TIGIT	2.16788261131127e-46	0.326693573905376	0.332	0.185	3.8347675511485e-42	Regulatory T cells	TIGIT
JUN	8.04878780252442e-45	0.44663325837207	0.769	0.64	1.42375007438855e-40	Regulatory T cells	JUN
UBC	3.863106115449e-44	0.26554933132269	0.926	0.851	6.83344840761773e-40	Regulatory T cells	UBC
BTG2	1.61195269084286e-42	0.262717933028106	0.806	0.666	2.85138311483194e-38	Regulatory T cells	BTG2
CITED2	3.97849601442034e-38	0.251521674002651	0.451	0.298	7.03756159990815e-34	Regulatory T cells	CITED2
DNAJA1	7.42739578556392e-38	0.260085539860208	0.74	0.594	1.3138320405084e-33	Regulatory T cells	DNAJA1
DUSP1	8.18049234309846e-32	0.281927548433995	0.829	0.722	1.44704729057069e-27	Regulatory T cells	DUSP1
GNLY	0	2.22399699656384	0.495	0.041	0	Cytotoxic NK/T cells	GNLY
NKG7	0	2.17904368365152	0.967	0.198	0	Cytotoxic NK/T cells	NKG7
CCL4	0	2.03205100323015	0.897	0.249	0	Cytotoxic NK/T cells	CCL4
CCL5	0	1.99913342350046	0.959	0.271	0	Cytotoxic NK/T cells	CCL5
GZMA	0	1.44124970618329	0.886	0.129	0	Cytotoxic NK/T cells	GZMA
CST7	0	1.43832051828939	0.954	0.257	0	Cytotoxic NK/T cells	CST7
GZMB	0	1.38095635978192	0.652	0.049	0	Cytotoxic NK/T cells	GZMB
CCL4L2	0	1.354388837334	0.629	0.127	0	Cytotoxic NK/T cells	CCL4L2
GZMH	0	1.2032115633432	0.659	0.037	0	Cytotoxic NK/T cells	GZMH
CTSW	0	1.13627484656257	0.804	0.114	0	Cytotoxic NK/T cells	CTSW
CD8A	0	1.03517314195776	0.601	0.075	0	Cytotoxic NK/T cells	CD8A
PRF1	0	1.02317850746051	0.702	0.097	0	Cytotoxic NK/T cells	PRF1
XCL1	0	0.965572460760176	0.376	0.029	0	Cytotoxic NK/T cells	XCL1
CD71	0	0.840703233823235	0.809	0.356	0	Cytotoxic NK/T cells	CD7
FGFBP2	0	0.832856171317616	0.344	0.01	0	Cytotoxic NK/T cells	FGFBP2
HCST	0	0.827044957428416	0.924	0.483	0	Cytotoxic NK/T cells	HCST
XCL2	0	0.814001576570959	0.38	0.022	0	Cytotoxic NK/T cells	XCL2
KLRD1	0	0.781719532570164	0.498	0.022	0	Cytotoxic NK/T cells	KLRD1
CD8B	0	0.730683004125976	0.457	0.059	0	Cytotoxic NK/T cells	CD8B
GZMM	0	0.694566855633519	0.719	0.188	0	Cytotoxic NK/T cells	GZMM
CD247	0	0.6923929728943	0.696	0.24	0	Cytotoxic NK/T cells	CD247
IFITM11	0	0.673989997347854	0.957	0.623	0	Cytotoxic NK/T cells	IFITM1
RARRES3	0	0.640795430206276	0.828	0.382	0	Cytotoxic NK/T cells	RARRES3
HOPX	0	0.626349926742244	0.475	0.064	0	Cytotoxic NK/T cells	HOPX
CLIC3	0	0.608431325148579	0.432	0.058	0	Cytotoxic NK/T cells	CLIC3
PTPRCAP	0	0.604482253993777	0.951	0.612	0	Cytotoxic NK/T cells	PTPRCAP
APOBEC3G	0	0.52610043399358	0.568	0.16	0	Cytotoxic NK/T cells	APOBEC3G
MATK	0	0.469635034599645	0.442	0.056	0	Cytotoxic NK/T cells	MATK
SAMD3	8.97260869896472e-305	0.399380262549083	0.422	0.071	1.58716475275987e-300	Cytotoxic NK/T cells	SAMD3
IL321	5.44818161640914e-278	0.584137561296839	0.898	0.528	9.63728846126612e-274	Cytotoxic NK/T cells	IL32
IFNG	2.13607672960011e-270	0.648397415730999	0.343	0.044	3.77850612698963e-266	Cytotoxic NK/T cells	IFNG
GZMK	1.49056067214228e-261	0.758654771333892	0.401	0.078	2.63665277295248e-257	Cytotoxic NK/T cells	GZMK
FASLG	3.57760339287196e-261	0.322505670093076	0.286	0.024	6.32842264165121e-257	Cytotoxic NK/T cells	FASLG
FYN	5.40777189561041e-254	0.47146139978842	0.663	0.267	9.56580770614525e-250	Cytotoxic NK/T cells	FYN
TRDC	5.77329800152458e-254	0.419461149502351	0.252	0.013	1.02123868348968e-249	Cytotoxic NK/T cells	TRDC
C12orf75	7.45512455589394e-251	0.420082804199204	0.482	0.133	1.31873698269208e-246	Cytotoxic NK/T cells	C12orf75
APMAP	9.8264878412285e-251	0.419090815102166	0.514	0.162	1.73820743423491e-246	Cytotoxic NK/T cells	APMAP
DUSP2	3.84854397343952e-244	0.720095853809462	0.834	0.529	6.80768943461717e-240	Cytotoxic NK/T cells	DUSP2
HLA-B	7.04505768348151e-243	0.408382484844864	1	0.985	1.24620025363104e-238	Cytotoxic NK/T cells	HLA-B
SLA2	3.49494785325452e-238	0.360214753602409	0.379	0.077	6.18221325762193e-234	Cytotoxic NK/T cells	SLA2
TRBC1	4.84427474877749e-237	0.567952528208488	0.532	0.173	8.56903760311251e-233	Cytotoxic NK/T cells	TRBC1
EVL1	1.89734573621493e-235	0.471451161784297	0.795	0.412	3.35621487279059e-231	Cytotoxic NK/T cells	EVL
B2M1	1.63366822242563e-234	0.322515921079605	1	0.999	2.88979571864869e-230	Cytotoxic NK/T cells	B2M
SLC9A3R1	7.75230221568344e-232	0.436531001442275	0.669	0.299	1.37130473893224e-227	Cytotoxic NK/T cells	SLC9A3R1
PTPRC1	3.12746239353119e-231	0.435368234638449	0.942	0.673	5.53216822791732e-227	Cytotoxic NK/T cells	PTPRC
GNG2	4.111883652115e-222	0.43889980307135	0.668	0.299	7.27351099222623e-218	Cytotoxic NK/T cells	GNG2
SYTL3	4.23100751233712e-215	0.428709627594823	0.521	0.184	7.48422918857313e-211	Cytotoxic NK/T cells	SYTL3
CD99	2.9592958665942e-208	0.420097518990301	0.876	0.603	5.23469845841848e-204	Cytotoxic NK/T cells	CD99
LINC01871	1.86598878313066e-207	0.386739285521833	0.381	0.09	3.30074755847982e-203	Cytotoxic NK/T cells	LINC01871
CHST12	2.35993456064102e-206	0.333089246230388	0.433	0.127	4.17448824431791e-202	Cytotoxic NK/T cells	CHST12
LCK1	1.49829335316045e-205	0.386884866990678	0.728	0.333	2.65033111240551e-201	Cytotoxic NK/T cells	LCK
TRBC21	5.0659309123963e-202	0.423387241085294	0.713	0.332	8.96112519093781e-198	Cytotoxic NK/T cells	TRBC2
AOAH	7.70032487467086e-201	0.325832991447579	0.375	0.091	1.36211046708053e-196	Cytotoxic NK/T cells	AOAH
HLA-A1	2.48668565215905e-198	0.381752233293516	1	0.923	4.39869825010414e-194	Cytotoxic NK/T cells	HLA-A
CMC1	2.26074527838022e-197	0.514335317758796	0.43	0.142	3.99903232292678e-193	Cytotoxic NK/T cells	CMC1
CLEC2B	1.05934827373789e-195	0.442468652753023	0.616	0.28	1.87388116141496e-191	Cytotoxic NK/T cells	CLEC2B
MYL12A	1.37339478177192e-193	0.436431597210753	0.933	0.762	2.42939802947635e-189	Cytotoxic NK/T cells	MYL12A
RUNX3	1.56307543330848e-193	0.40881876485516	0.543	0.217	2.76492413397936e-189	Cytotoxic NK/T cells	RUNX3
IFITM2	8.37354234874264e-193	0.468899045844305	0.893	0.686	1.48119590606909e-188	Cytotoxic NK/T cells	IFITM2
IL2RB	9.08542304224229e-193	0.435998589170443	0.508	0.188	1.60712048194224e-188	Cytotoxic NK/T cells	IL2RB
NR4A2	5.4991246055983e-187	0.584001207813024	0.835	0.569	9.72740151484283e-183	Cytotoxic NK/T cells	NR4A2
RPS271	3.10059618084313e-186	0.369664191429863	1	0.993	5.48464458429341e-182	Cytotoxic NK/T cells	RPS27
PYHIN1	1.64453833697733e-185	0.319237562592664	0.396	0.113	2.90902386427919e-181	Cytotoxic NK/T cells	PYHIN1
SH2D2A1	1.12762477963819e-183	0.355378624520487	0.575	0.229	1.99465547270199e-179	Cytotoxic NK/T cells	SH2D2A
ZFP36L21	2.60372969423622e-183	0.506880511733552	0.897	0.669	4.60573745613445e-179	Cytotoxic NK/T cells	ZFP36L2
HLA-C	3.24345034214506e-180	0.345342211748715	0.993	0.948	5.7373393102204e-176	Cytotoxic NK/T cells	HLA-C
RAC2	1.27153677041535e-179	0.369893462798884	0.928	0.673	2.24922139318772e-175	Cytotoxic NK/T cells	RAC2
KLRG1	7.63523263782535e-177	0.321286929567002	0.308	0.066	1.35059630130493e-172	Cytotoxic NK/T cells	KLRG1
SPON2	4.66654949764346e-170	0.405197131215925	0.285	0.057	8.25465940638152e-166	Cytotoxic NK/T cells	SPON2
KLRB11	2.15000614323676e-168	0.602650357613007	0.49	0.192	3.80314586677151e-164	Cytotoxic NK/T cells	KLRB1
ZAP70	5.31694247862643e-166	0.322576804711187	0.51	0.203	9.4051395504423e-162	Cytotoxic NK/T cells	ZAP70
LAG3	2.3402472051855e-163	0.32639093972124	0.312	0.074	4.13966328125264e-159	Cytotoxic NK/T cells	LAG3
CD3E1	3.36003928479607e-160	0.460139223721646	0.767	0.448	5.94357349087577e-156	Cytotoxic NK/T cells	CD3E
CALM1	1.69779310139544e-158	0.352661648059944	0.956	0.801	3.0032262170584e-154	Cytotoxic NK/T cells	CALM1
PAXX	3.29242311873076e-158	0.341757612548646	0.631	0.326	5.82396725472285e-154	Cytotoxic NK/T cells	PAXX
LINC00861	1.24418510382701e-156	0.297842340172219	0.37	0.112	2.2008390301596e-152	Cytotoxic NK/T cells	LINC00861
ID2	9.04476331228493e-155	0.386139298621848	0.547	0.247	1.59992818231008e-150	Cytotoxic NK/T cells	ID2
PRKCH	4.47930179638727e-150	0.306699806670219	0.472	0.189	7.92343694762944e-146	Cytotoxic NK/T cells	PRKCH
CCL3	8.83019324705725e-150	0.483912183195085	0.361	0.105	1.56197288347196e-145	Cytotoxic NK/T cells	CCL3
