	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CD37	1.53344138860863e-06	0.251780257775803	0.32	0.089	0.027125044723098	Inflammatory fibroblasts	CD37
CD74	1.37406187902694e-05	0.302382767264277	0.544	0.304	0.243057805781075	Inflammatory fibroblasts	CD74
SH3BGRL3	2.611812361435e-05	0.254802341168595	0.888	0.785	0.462003488614238	Inflammatory fibroblasts	SH3BGRL3
THBS2	5.66719856096685e-05	0.414004395139742	0.432	0.253	1	Inflammatory fibroblasts	THBS2
COL16A1	0.000458067058211564	0.253368053777386	0.368	0.203	1	Inflammatory fibroblasts	COL16A1
CNN2	0.00105593017321459	0.252159325741902	0.512	0.405	1	Inflammatory fibroblasts	CNN2
COLEC11	0.00925320112919686	0.252798502706319	0.448	0.297	1	Inflammatory fibroblasts	COLEC11
RGS5	1.19407214187642e-36	1.57090544670279	0.843	0.119	2.11219421176519e-32	Muscle like fibroblasts	RGS5
TINAGL1	4.47374154211955e-28	0.729804313651884	0.685	0.077	7.91360141385527e-24	Muscle like fibroblasts	TINAGL1
NDUFA4L2	1.03234638361348e-27	1.10941579810101	0.652	0.072	1.82611751797388e-23	Muscle like fibroblasts	NDUFA4L2
MCAM	8.13537504134616e-26	0.847726071866256	0.674	0.098	1.43906649106372e-21	Muscle like fibroblasts	MCAM
ESAM	9.40156688975774e-25	0.588745500370479	0.483	0.005	1.66304316712925e-20	Muscle like fibroblasts	ESAM
NOTCH3	2.13313549233726e-23	0.835533282255528	0.809	0.268	3.77330337239537e-19	Muscle like fibroblasts	NOTCH3
MEF2C	2.60369822150632e-23	0.696145338696258	0.64	0.103	4.60568178402253e-19	Muscle like fibroblasts	MEF2C
ADGRF5	8.09218441212834e-22	0.544723815401977	0.483	0.026	1.43142650066138e-17	Muscle like fibroblasts	ADGRF5
COX4I2	2.89639967982371e-19	0.537593591221449	0.404	0.01	5.12344139364016e-15	Muscle like fibroblasts	COX4I2
CRIP2	5.50375876871357e-19	0.672688463515162	0.82	0.366	9.73559888597743e-15	Muscle like fibroblasts	CRIP2
MYO1B	7.20809913435545e-19	0.615129805868639	0.596	0.119	1.27504065587614e-14	Muscle like fibroblasts	MYO1B
OLFML2A	1.96500583538241e-18	0.556523367407901	0.438	0.031	3.47589882220794e-14	Muscle like fibroblasts	OLFML2A
ITGA1	1.15701392000137e-17	0.695934382428034	0.787	0.304	2.04664192309042e-13	Muscle like fibroblasts	ITGA1
GJA4	2.79026827068246e-17	0.472559529197642	0.348	0.005	4.9357055440102e-13	Muscle like fibroblasts	GJA4
RASL12	6.12904283274442e-17	0.443614305199518	0.528	0.082	1.08416638668416e-12	Muscle like fibroblasts	RASL12
HIGD1B	6.22397443521585e-17	0.462266717478282	0.326	0	1.10095883784533e-12	Muscle like fibroblasts	HIGD1B
CSPG4	2.36158085765064e-16	0.418240128185877	0.36	0.015	4.17740037909821e-12	Muscle like fibroblasts	CSPG4
ANGPT2	2.52477278669847e-16	0.456035346330496	0.36	0.015	4.46607058239092e-12	Muscle like fibroblasts	ANGPT2
GUCY1B1	5.69925032951627e-16	0.524759557586396	0.551	0.124	1.00814039078813e-11	Muscle like fibroblasts	GUCY1B1
ADAP2	8.8704586017808e-16	0.333030303561908	0.303	0	1.56909542206901e-11	Muscle like fibroblasts	ADAP2
HEY2	9.04887287728636e-16	0.404663887697812	0.438	0.052	1.60065512326318e-11	Muscle like fibroblasts	HEY2
EPAS1	1.12478485745706e-15	0.597393514832219	0.573	0.139	1.98963193435579e-11	Muscle like fibroblasts	EPAS1
TLN1	1.1583805970646e-15	0.549867038232621	0.82	0.392	2.04905943814756e-11	Muscle like fibroblasts	TLN1
SEPT4	1.41727779388394e-15	0.504848765854151	0.618	0.175	2.5070226896013e-11	Muscle like fibroblasts	SEPT4
TPPP3	2.36223811347176e-15	0.412281775617804	0.382	0.031	4.1785629989202e-11	Muscle like fibroblasts	TPPP3
PLXDC1	2.64971449928494e-15	0.501799668445656	0.483	0.082	4.68707997778513e-11	Muscle like fibroblasts	PLXDC1
HES4	4.18844810743626e-15	0.624812338703119	0.64	0.222	7.40894585724401e-11	Muscle like fibroblasts	HES4
PGF	1.51114146366213e-14	0.430995707929136	0.472	0.082	2.67305813507195e-10	Muscle like fibroblasts	PGF
NEURL1B	2.40238687633818e-14	0.435692590688569	0.449	0.072	4.24958214555461e-10	Muscle like fibroblasts	NEURL1B
EPS8	2.71082145467914e-14	0.519782488553117	0.719	0.299	4.79517207118194e-10	Muscle like fibroblasts	EPS8
PTP4A3	3.28690464103338e-14	0.42507181591052	0.348	0.026	5.81420561952395e-10	Muscle like fibroblasts	PTP4A3
CD36	4.80895635086726e-14	0.396618826909325	0.27	0	8.5065628890491e-10	Muscle like fibroblasts	CD36
CDH6	9.6305418214479e-14	0.304435147395353	0.281	0.005	1.70354654279592e-09	Muscle like fibroblasts	CDH6
COL5A3	1.24404298287159e-13	0.389356655570385	0.371	0.041	2.20058763240155e-09	Muscle like fibroblasts	COL5A3
EDNRA	1.36733074380296e-13	0.453698491383948	0.528	0.129	2.41867135271306e-09	Muscle like fibroblasts	EDNRA
GUCY1A1	1.69718253692475e-13	0.412413369831646	0.494	0.103	3.00214618956618e-09	Muscle like fibroblasts	GUCY1A1
PDGFRB	1.87518653993428e-13	0.621351021621005	0.775	0.474	3.31701747048975e-09	Muscle like fibroblasts	PDGFRB
EHD2	2.47859182384249e-13	0.507181066597709	0.663	0.268	4.38438107719498e-09	Muscle like fibroblasts	EHD2
EBF1	2.85936655780411e-13	0.381866405415114	0.416	0.067	5.05793350409969e-09	Muscle like fibroblasts	EBF1
TBX2	3.31109429715176e-13	0.42879899569664	0.517	0.129	5.85699470223174e-09	Muscle like fibroblasts	TBX2
DBNDD2	4.12761921322606e-13	0.472452495831728	0.539	0.139	7.30134562627558e-09	Muscle like fibroblasts	DBNDD2
PDGFA	4.54056376679584e-13	0.365200942076888	0.393	0.057	8.03180324708516e-09	Muscle like fibroblasts	PDGFA
MFGE8	4.99633106655598e-13	0.538087734787714	0.697	0.314	8.83801002363088e-09	Muscle like fibroblasts	MFGE8
COL18A1	5.97989484750632e-13	0.694430655987898	0.764	0.433	1.05778359957539e-08	Muscle like fibroblasts	COL18A1
ENPEP	7.35347080116534e-13	0.347028148928171	0.371	0.046	1.30075545001814e-08	Muscle like fibroblasts	ENPEP
MAP3K20	9.29148166029698e-13	0.438304090054942	0.618	0.222	1.64357019088993e-08	Muscle like fibroblasts	MAP3K20
GJC1	1.43587908022196e-12	0.320889127137713	0.315	0.026	2.53992650500462e-08	Muscle like fibroblasts	GJC1
UACA	1.4644013110652e-12	0.633890472917075	0.708	0.407	2.59037947914323e-08	Muscle like fibroblasts	UACA
MYL9	1.75612781587818e-12	0.625795662610854	0.854	0.562	3.10641449350691e-08	Muscle like fibroblasts	MYL9
ACTA2	1.76512291940023e-12	0.787060800703148	0.775	0.387	3.12232593212707e-08	Muscle like fibroblasts	ACTA2
RGS16	2.63205970663834e-12	0.522398459096939	0.449	0.098	4.65585041507256e-08	Muscle like fibroblasts	RGS16
PPP1R14A	3.26886169639653e-12	0.648869396824917	0.607	0.242	5.78228945475583e-08	Muscle like fibroblasts	PPP1R14A
MYL6	3.32011935301869e-12	0.301483699580033	1	0.99	5.87295912355476e-08	Muscle like fibroblasts	MYL6
PHLDA1	3.45750182489458e-12	0.569445263037797	0.652	0.273	6.11597497805602e-08	Muscle like fibroblasts	PHLDA1
CHCHD10	5.7601418249964e-12	0.471323210305634	0.685	0.273	1.01891148742361e-07	Muscle like fibroblasts	CHCHD10
BCAM	6.04529617650938e-12	0.384003845564175	0.36	0.052	1.06935244066274e-07	Muscle like fibroblasts	BCAM
VASP	6.07325256779851e-12	0.382593661621645	0.506	0.124	1.07429764671788e-07	Muscle like fibroblasts	VASP
RASGRP2	6.6352184270424e-12	0.317646456658506	0.371	0.052	1.17370378755953e-07	Muscle like fibroblasts	RASGRP2
FRZB	8.35607111198806e-12	0.619166596928898	0.596	0.242	1.47810541899957e-07	Muscle like fibroblasts	FRZB
B2M	8.51667078386192e-12	0.270567990275116	1	1	1.50651389495734e-07	Muscle like fibroblasts	B2M
ANO1	1.21258649983551e-11	0.284948328333576	0.326	0.036	2.14494425955903e-07	Muscle like fibroblasts	ANO1
CCDC102B	1.31923033080281e-11	0.43263808004354	0.494	0.129	2.33358653215709e-07	Muscle like fibroblasts	CCDC102B
MYLK	1.95456377522804e-11	0.531016306071317	0.753	0.376	3.45742786200089e-07	Muscle like fibroblasts	MYLK
MAP1B	2.73484095769643e-11	0.53682460549003	0.629	0.268	4.83766017006921e-07	Muscle like fibroblasts	MAP1B
ADIRF	3.04192663208416e-11	0.697582216189557	0.596	0.237	5.38086401949368e-07	Muscle like fibroblasts	ADIRF
ISYNA1	3.04544708894211e-11	0.520427677097028	0.607	0.263	5.38709135562969e-07	Muscle like fibroblasts	ISYNA1
CYTOR	3.55954195722643e-11	0.53021749516301	0.674	0.34	6.29647376813784e-07	Muscle like fibroblasts	CYTOR
INPP4B	3.62495815612359e-11	0.29541001045543	0.292	0.026	6.41218848236702e-07	Muscle like fibroblasts	INPP4B
TPM4	3.84317199663688e-11	0.504760874053774	0.843	0.619	6.79818694485098e-07	Muscle like fibroblasts	TPM4
ARHGEF17	4.14895354124202e-11	0.376435817804893	0.449	0.113	7.33908391910301e-07	Muscle like fibroblasts	ARHGEF17
LHFPL6	4.33035201863762e-11	0.496825721686208	0.831	0.521	7.65995968576809e-07	Muscle like fibroblasts	LHFPL6
ADAMTS4	4.34302598143371e-11	0.314994807680316	0.258	0.015	7.68237865855809e-07	Muscle like fibroblasts	ADAMTS4
EPB41L1	6.50270371922335e-11	0.320688253231451	0.348	0.057	1.15026326089342e-06	Muscle like fibroblasts	EPB41L1
H2AFJ	8.28300685507393e-11	0.442484452255327	0.685	0.314	1.46518108259403e-06	Muscle like fibroblasts	H2AFJ
HIP1	9.50434339166291e-11	0.301235398952386	0.404	0.082	1.68122330255125e-06	Muscle like fibroblasts	HIP1
CAV1	9.70667674304558e-11	0.498362639666565	0.798	0.418	1.71701404907733e-06	Muscle like fibroblasts	CAV1
ARHGAP29	2.40927927292397e-10	0.322472366348337	0.315	0.046	4.26177410587522e-06	Muscle like fibroblasts	ARHGAP29
CLIC1	2.7785447982261e-10	0.343336742546034	0.876	0.82	4.91496789358214e-06	Muscle like fibroblasts	CLIC1
HEYL	2.82888605219518e-10	0.424767636564133	0.517	0.165	5.00401653772805e-06	Muscle like fibroblasts	HEYL
MAP3K7CL	2.97062782918362e-10	0.280725079193168	0.281	0.031	5.25474356704291e-06	Muscle like fibroblasts	MAP3K7CL
NES	3.03998520973853e-10	0.289101229078816	0.326	0.052	5.37742983750648e-06	Muscle like fibroblasts	NES
KLHDC8B	3.32152785759266e-10	0.313140709419029	0.427	0.108	5.87545062729566e-06	Muscle like fibroblasts	KLHDC8B
CALD1	5.51595656305216e-10	0.478952464230234	0.876	0.67	9.75717556438297e-06	Muscle like fibroblasts	CALD1
MIR4435-2HG	6.12294028641741e-10	0.523947976106037	0.652	0.34	1.08308690726438e-05	Muscle like fibroblasts	MIR4435-2HG
EFHD1	6.63459278507486e-10	0.325011928708163	0.348	0.067	1.17359311775189e-05	Muscle like fibroblasts	EFHD1
FABP5	7.47611677030817e-10	0.516979845993528	0.472	0.149	1.32245029549981e-05	Muscle like fibroblasts	FABP5
PRSS23	7.50581363213533e-10	0.612713081783693	0.697	0.371	1.32770337338842e-05	Muscle like fibroblasts	PRSS23
ABCC9	9.97330671303993e-10	0.287591774413056	0.315	0.052	1.76417822446963e-05	Muscle like fibroblasts	ABCC9
C1orf54	1.26883582968535e-09	0.302768196448053	0.382	0.088	2.24444369913042e-05	Muscle like fibroblasts	C1orf54
OAZ2	1.28952295513043e-09	0.380685914805639	0.494	0.175	2.28103715533021e-05	Muscle like fibroblasts	OAZ2
GPX3	1.40478779956506e-09	0.47822328261618	0.506	0.175	2.48492913865063e-05	Muscle like fibroblasts	GPX3
FOXS1	1.40638194997944e-09	0.354706992838438	0.528	0.17	2.48774903131864e-05	Muscle like fibroblasts	FOXS1
B3GNT2	1.43505423301709e-09	0.34124954029036	0.36	0.077	2.53846743278394e-05	Muscle like fibroblasts	B3GNT2
COL4A1	1.60537510512222e-09	0.627723137301667	0.764	0.438	2.83974802345069e-05	Muscle like fibroblasts	COL4A1
CD248	1.63778983115828e-09	0.478880127602634	0.562	0.222	2.89708643233589e-05	Muscle like fibroblasts	CD248
IFI27	1.84503228990637e-09	0.577143562690123	0.596	0.242	3.26367761761538e-05	Muscle like fibroblasts	IFI27
ROCK2	1.90522696847598e-09	0.291576154335132	0.36	0.077	3.37015598453717e-05	Muscle like fibroblasts	ROCK2
STOM	1.99134536511938e-09	0.450211332080215	0.539	0.222	3.52249081635967e-05	Muscle like fibroblasts	STOM
PHLDA2	2.46630549575469e-09	0.351557973693717	0.371	0.082	4.36264779144047e-05	Muscle like fibroblasts	PHLDA2
PTK2	2.7761050518128e-09	0.399320772731441	0.562	0.237	4.91065222615165e-05	Muscle like fibroblasts	PTK2
THY1	2.93576021621323e-09	0.608526806638479	0.73	0.469	5.19306624645959e-05	Muscle like fibroblasts	THY1
COL4A2	3.21473158284422e-09	0.575408701757112	0.798	0.464	5.68653869689315e-05	Muscle like fibroblasts	COL4A2
PDLIM1	3.6439519433783e-09	0.439483029292142	0.685	0.335	6.44578659264188e-05	Muscle like fibroblasts	PDLIM1
CYSTM1	4.17492720348519e-09	0.385888308038062	0.629	0.304	7.38502873024495e-05	Muscle like fibroblasts	CYSTM1
SELENOW	4.4687306799054e-09	0.373361840324677	0.865	0.67	7.90473769968466e-05	Muscle like fibroblasts	SELENOW
ENTPD1	4.53130167468137e-09	0.271837499851745	0.27	0.036	8.01541953234388e-05	Muscle like fibroblasts	ENTPD1
CYGB	4.7733982780155e-09	0.446277355681144	0.506	0.201	8.44366421398161e-05	Muscle like fibroblasts	CYGB
MGST3	4.89160076637864e-09	0.37170612344599	0.798	0.51	8.65275259564717e-05	Muscle like fibroblasts	MGST3
UTRN	5.83945276547204e-09	0.323438032435165	0.382	0.098	0.000103294079968435	Muscle like fibroblasts	UTRN
COX6A1	7.05626047161795e-09	0.252720009681695	0.955	0.866	0.00012481819148245	Muscle like fibroblasts	COX6A1
DLC1	7.26870381798427e-09	0.363908606829276	0.596	0.278	0.000128576101836324	Muscle like fibroblasts	DLC1
A2M	8.74644908905882e-09	0.449972110487433	0.742	0.387	0.000154715937936361	Muscle like fibroblasts	A2M
LRRC32	9.41919216108437e-09	0.3345499481021	0.551	0.206	0.000166616090137421	Muscle like fibroblasts	LRRC32
TGFB1I1	1.52995405269823e-08	0.419595989434501	0.674	0.397	0.000270633572381789	Muscle like fibroblasts	TGFB1I1
AGRN	2.59093577263054e-08	0.305327474618562	0.382	0.108	0.000458310628820616	Muscle like fibroblasts	AGRN
MYH9	2.6714181577171e-08	0.439308275184207	0.843	0.593	0.000472547157918578	Muscle like fibroblasts	MYH9
TAGLN	2.67777790063327e-08	0.563939696471522	0.809	0.469	0.000473672132843019	Muscle like fibroblasts	TAGLN
CAV2	2.77784104751338e-08	0.354110778444912	0.584	0.273	0.000491372302894642	Muscle like fibroblasts	CAV2
C11orf96	3.11716708091674e-08	0.515634232017107	0.629	0.34	0.000551395684943361	Muscle like fibroblasts	C11orf96
CYB5R3	4.09148351678035e-08	0.364750003334514	0.764	0.459	0.000723742519283275	Muscle like fibroblasts	CYB5R3
TMEM165	4.23832327226927e-08	0.377031294702719	0.528	0.242	0.000749717003631711	Muscle like fibroblasts	TMEM165
PLEKHG2	4.67566488550137e-08	0.277699070769134	0.348	0.093	0.000827078361596338	Muscle like fibroblasts	PLEKHG2
RHOC	4.81798369387069e-08	0.382822017509318	0.775	0.557	0.000852253135608786	Muscle like fibroblasts	RHOC
FAM13C	5.24345335293797e-08	0.285433437380984	0.382	0.108	0.000927514463601197	Muscle like fibroblasts	FAM13C
ID3	5.25728566654648e-08	0.523626370530977	0.82	0.485	0.000929961261555407	Muscle like fibroblasts	ID3
MRVI1	5.9230203849161e-08	0.320341545666861	0.382	0.113	0.00104772307588781	Muscle like fibroblasts	MRVI1
CSRP2	7.82535251770897e-08	0.491811956792021	0.416	0.149	0.00138422660685754	Muscle like fibroblasts	CSRP2
IGFBP7	1.06829697502427e-07	0.459210778733041	0.865	0.634	0.00188971051912044	Muscle like fibroblasts	IGFBP7
OLFML2B	1.41009476498397e-07	0.371196351447384	0.517	0.211	0.00249431662978015	Muscle like fibroblasts	OLFML2B
CAVIN3	1.4243892346065e-07	0.406090207349182	0.629	0.33	0.00251960211709543	Muscle like fibroblasts	CAVIN3
NT5DC2	1.44569848339387e-07	0.284224576918832	0.393	0.124	0.00255729604727541	Muscle like fibroblasts	NT5DC2
PLAC9	1.51977055097221e-07	0.410455755539726	0.674	0.387	0.00268832212761474	Muscle like fibroblasts	PLAC9
HSPB1	1.63850141746027e-07	0.354512012220969	0.843	0.67	0.00289834515734547	Muscle like fibroblasts	HSPB1
ECE1	1.70757221661058e-07	0.310115034386209	0.506	0.211	0.00302052449396246	Muscle like fibroblasts	ECE1
FLNA	2.22174146548597e-07	0.402182576047987	0.775	0.505	0.00393003847829813	Muscle like fibroblasts	FLNA
CAP1	2.38010541809371e-07	0.341658405823371	0.618	0.34	0.00421016847406597	Muscle like fibroblasts	CAP1
CARMN	2.96315649947332e-07	0.278245937786619	0.36	0.108	0.00524152753191835	Muscle like fibroblasts	CARMN
BMP1	3.89255181470991e-07	0.282136229711441	0.427	0.16	0.00688553490504035	Muscle like fibroblasts	BMP1
NDUFA6	4.00659560001624e-07	0.317533246376305	0.596	0.33	0.00708726695686872	Muscle like fibroblasts	NDUFA6
LAMC1	4.59573551445093e-07	0.37222947845079	0.629	0.34	0.00812939655151225	Muscle like fibroblasts	LAMC1
ISG15	5.56829468158864e-07	0.281042780983458	0.539	0.232	0.00984975646226214	Muscle like fibroblasts	ISG15
ROCK1	6.12574634587416e-07	0.291111809441748	0.528	0.232	0.0108358327112168	Muscle like fibroblasts	ROCK1
ITGB1	7.18374310507274e-07	0.389488778742391	0.809	0.588	0.0127073231785632	Muscle like fibroblasts	ITGB1
TPM1	7.44474579126955e-07	0.434021751260478	0.809	0.531	0.0131690108301767	Muscle like fibroblasts	TPM1
TNS1	7.64011514401723e-07	0.311108154315104	0.551	0.278	0.0135145996782521	Muscle like fibroblasts	TNS1
DSTN	8.55909228316869e-07	0.356357879532317	0.798	0.582	0.0151401783396971	Muscle like fibroblasts	DSTN
BGN	9.27120256634323e-07	0.497838290756368	0.865	0.5	0.0163998302196045	Muscle like fibroblasts	BGN
SPARC	1.06846137159734e-06	0.45294273168346	0.854	0.644	0.0189000132021853	Muscle like fibroblasts	SPARC
UBA2	1.16237684886005e-06	0.292306570557834	0.472	0.196	0.0205612840794854	Muscle like fibroblasts	UBA2
DCTN1	1.22521228980392e-06	0.269634705146311	0.461	0.196	0.0216727801943415	Muscle like fibroblasts	DCTN1
GEM	1.43342456066882e-06	0.365075286820246	0.506	0.227	0.0253558470536707	Muscle like fibroblasts	GEM
SLIT3	1.49160519347686e-06	0.334974390784774	0.348	0.113	0.0263850042674122	Muscle like fibroblasts	SLIT3
TPM2	1.61098576416829e-06	0.40310091382281	0.843	0.582	0.0284967271823729	Muscle like fibroblasts	TPM2
JAG1	1.77059153714846e-06	0.35285200133625	0.517	0.258	0.0313199937006191	Muscle like fibroblasts	JAG1
COX7A1	1.85133784765781e-06	0.329965046463283	0.663	0.402	0.032748315187219	Muscle like fibroblasts	COX7A1
CD59	2.00827306996366e-06	0.341845164090622	0.73	0.495	0.0355243423345873	Muscle like fibroblasts	CD59
C5orf24	2.12565056693207e-06	0.290766316290957	0.596	0.32	0.0376006328784614	Muscle like fibroblasts	C5orf24
SYTL2	2.14181691124231e-06	0.286878353840695	0.371	0.139	0.0378865993429652	Muscle like fibroblasts	SYTL2
LGALS1	2.14822749436541e-06	0.3142202055135	0.944	0.845	0.0379999961478297	Muscle like fibroblasts	LGALS1
RRAS	2.25005586775534e-06	0.258653465783998	0.393	0.144	0.0398012382447241	Muscle like fibroblasts	RRAS
C1QTNF1	2.57031101856064e-06	0.262493106634735	0.303	0.093	0.0454662316073191	Muscle like fibroblasts	C1QTNF1
SORBS3	2.65632857215777e-06	0.297869492902019	0.596	0.325	0.0469877961128988	Muscle like fibroblasts	SORBS3
FILIP1L	2.781727846465e-06	0.425515892540958	0.573	0.314	0.0492059838761194	Muscle like fibroblasts	FILIP1L
JAK1	2.87867431360899e-06	0.323186441498739	0.596	0.351	0.0509208699334294	Muscle like fibroblasts	JAK1
CNN3	2.92244868541118e-06	0.311830485718175	0.798	0.582	0.0516951947962384	Muscle like fibroblasts	CNN3
HOPX	3.12915091947476e-06	0.257886562261458	0.281	0.072	0.055351550614589	Muscle like fibroblasts	HOPX
RAB13	3.28247534453443e-06	0.300130729953336	0.697	0.397	0.0580637063694696	Muscle like fibroblasts	RAB13
NDUFA13	3.41784084114101e-06	0.280171486952078	0.753	0.515	0.0604581866389434	Muscle like fibroblasts	NDUFA13
SEPT11	3.81775112482537e-06	0.342106911466657	0.629	0.371	0.0675321996470359	Muscle like fibroblasts	SEPT11
TRIB2	3.89117326128404e-06	0.254683265955731	0.36	0.129	0.0688309638188534	Muscle like fibroblasts	TRIB2
IGFBP2	3.93234184157899e-06	0.404859320329646	0.629	0.32	0.0695591948356908	Muscle like fibroblasts	IGFBP2
CRIP1	3.99629423714931e-06	0.475798959377619	0.685	0.505	0.0706904487609342	Muscle like fibroblasts	CRIP1
NDUFS6	4.13291904102995e-06	0.27681772325679	0.618	0.356	0.0731072049167789	Muscle like fibroblasts	NDUFS6
RHOB	4.15256089865728e-06	0.311936448506233	0.607	0.32	0.0734546497363487	Muscle like fibroblasts	RHOB
RALY	4.34066585944097e-06	0.291758075910648	0.584	0.325	0.0767820383876514	Muscle like fibroblasts	RALY
KTN1	4.69283930301769e-06	0.292313619679159	0.708	0.454	0.08301163443108	Muscle like fibroblasts	KTN1
ILK	4.69327652339806e-06	0.305599708799863	0.674	0.459	0.0830193684223882	Muscle like fibroblasts	ILK
CRTAP	4.7179972714545e-06	0.317276741722226	0.73	0.485	0.0834566537347586	Muscle like fibroblasts	CRTAP
IFITM3	4.81874156501077e-06	0.323610571837386	0.865	0.696	0.0852387195434756	Muscle like fibroblasts	IFITM3
TAGLN2	4.82269390509605e-06	0.270353246262437	0.865	0.701	0.085308632487244	Muscle like fibroblasts	TAGLN2
ARHGEF12	5.80127551909052e-06	0.270714324886514	0.337	0.124	0.102618762657192	Muscle like fibroblasts	ARHGEF12
LMNA	6.30241110518662e-06	0.348743928252563	0.719	0.521	0.111483350039646	Muscle like fibroblasts	LMNA
PEAK1	6.43237522456558e-06	0.344122259891608	0.461	0.237	0.113782285347341	Muscle like fibroblasts	PEAK1
LBH	6.59201663289787e-06	0.343703685213731	0.483	0.232	0.11660618221933	Muscle like fibroblasts	LBH
THBS4	8.75374837324664e-06	0.628471197631443	0.348	0.144	0.15484505497436	Muscle like fibroblasts	THBS4
WFDC1	9.79289017446314e-06	0.349731216950533	0.438	0.201	0.173226434296079	Muscle like fibroblasts	WFDC1
SYNE2	1.00756316199882e-05	0.287964815978979	0.404	0.175	0.178227847725972	Muscle like fibroblasts	SYNE2
NR2F2	1.06908192349931e-05	0.316476118659892	0.73	0.464	0.189109901447793	Muscle like fibroblasts	NR2F2
FN1	1.09078378077483e-05	0.448631768549531	0.685	0.526	0.19294874298126	Muscle like fibroblasts	FN1
RBPMS	1.09314627402107e-05	0.313440969212247	0.629	0.376	0.193366644411588	Muscle like fibroblasts	RBPMS
GNB1	1.14501244154944e-05	0.262573136208799	0.483	0.247	0.20254125078568	Muscle like fibroblasts	GNB1
RAB31	1.22646982799838e-05	0.315223354550371	0.562	0.32	0.216950247874634	Muscle like fibroblasts	RAB31
PTMS	1.25269936715247e-05	0.311024578975167	0.775	0.608	0.221589991055601	Muscle like fibroblasts	PTMS
SEPT7	1.29507058387345e-05	0.283009975640956	0.798	0.598	0.229085035581375	Muscle like fibroblasts	SEPT7
ANXA6	1.33906217564323e-05	0.286126268523066	0.652	0.392	0.236866708249531	Muscle like fibroblasts	ANXA6
SOX4	1.4671575153695e-05	0.334144912660065	0.685	0.433	0.25952549289371	Muscle like fibroblasts	SOX4
CSRP1	1.47699919860929e-05	0.361987923975724	0.708	0.495	0.261266388241997	Muscle like fibroblasts	CSRP1
FBLIM1	1.49016183905461e-05	0.264834923297837	0.472	0.232	0.263594727710369	Muscle like fibroblasts	FBLIM1
PKIG	1.774427936392e-05	0.281091671338209	0.551	0.304	0.313878557668381	Muscle like fibroblasts	PKIG
ITM2C	1.86479252047685e-05	0.290885102752312	0.607	0.371	0.32986314894715	Muscle like fibroblasts	ITM2C
SERPINH1	1.86718653781804e-05	0.353038697190716	0.742	0.541	0.330286626674634	Muscle like fibroblasts	SERPINH1
GUK1	1.88920738827574e-05	0.27653335570062	0.775	0.598	0.334181894912096	Muscle like fibroblasts	GUK1
NDUFB2	1.90165661682543e-05	0.25822545237232	0.798	0.619	0.336384038950251	Muscle like fibroblasts	NDUFB2
H1F0	2.21204464006922e-05	0.302094622508112	0.562	0.325	0.391288576381845	Muscle like fibroblasts	H1F0
RSU1	2.27288744509345e-05	0.263898821150632	0.551	0.33	0.40205106016258	Muscle like fibroblasts	RSU1
CD151	2.57210334537819e-05	0.295450610832342	0.742	0.5	0.454979360763949	Muscle like fibroblasts	CD151
SMARCB1	2.66217366383805e-05	0.253371325462416	0.517	0.284	0.470911899396312	Muscle like fibroblasts	SMARCB1
